name,name_norm,mv_eur,dob,contract,sub_position,club
Miroslav Klose,miroslav klose,1000000,1978-06-09,,Centre-Forward,Società Sportiva Lazio S.p.A.
Roman Weidenfeller,roman weidenfeller,750000,1980-08-06,,Goalkeeper,Borussia Dortmund
Dimitar Berbatov,dimitar berbatov,1000000,1981-01-30,,Centre-Forward,Panthessalonikios Athlitikos Omilos Konstantinoupoliton
Lúcio,lucio,200000,1978-05-08,,Centre-Back,Juventus FC
Tom Starke,tom starke,100000,1981-03-18,,Goalkeeper,Bayern Munich
Dedê,dede,400000,1978-04-18,,Left-Back,Eskisehirspor
Christoph Metzelder,christoph metzelder,1500000,1980-11-05,,Centre-Back,FC Schalke 04
Tomas Rosicky,tomas rosicky,350000,1980-10-04,,Attacking Midfield,Arsenal FC
Marc Ziegler,marc ziegler,200000,1976-06-13,,Goalkeeper,VfB Stuttgart
Roque Santa Cruz,roque santa cruz,250000,1981-08-16,2023-12-31,Centre-Forward,Málaga CF
Gerald Asamoah,gerald asamoah,100000,1978-10-03,,Centre-Forward,FC Schalke 04
Tamás Hajnal,tamas hajnal,100000,1981-03-15,,Attacking Midfield,VfB Stuttgart
Sladan Peric,sladan peric,200000,1982-04-15,,Centre-Back,FC Vestsjaelland
Sérgio da Silva Pinto,sergio da silva pinto,150000,1980-10-16,,Central Midfield,Levante UD
Fabian Ernst,fabian ernst,1500000,,,Defensive Midfield,Kasimpasa
Tomas Ujfalusi,tomas ujfalusi,300000,1978-03-24,,Centre-Back,Galatasaray
Benjamin Köhler,benjamin kohler,150000,1980-08-04,,Left Midfield,Eintracht Frankfurt
Sebastian Kehl,sebastian kehl,1000000,1980-02-13,,Defensive Midfield,Borussia Dortmund
Levan Kobiashvili,levan kobiashvili,400000,1977-07-10,,Left Midfield,Hertha BSC
Oka Nikolov,oka nikolov,350000,1974-05-25,,Goalkeeper,Eintracht Frankfurt
Gerhard Tremmel,gerhard tremmel,250000,1978-11-16,,Goalkeeper,Swansea City
Claudio Pizarro,claudio pizarro,400000,1978-10-03,,Centre-Forward,SV Werder Bremen
Simon Jentzsch,simon jentzsch,300000,1976-05-04,,Goalkeeper,FC Augsburg
Martin Stranzl,martin stranzl,1000000,1980-06-16,,Centre-Back,Borussia Mönchengladbach
Aleksandr Hleb,aleksandr hleb,150000,1981-05-01,,Attacking Midfield,PFK Krylya Sovetov Samara
Timo Hildebrand,timo hildebrand,750000,1979-04-05,,Goalkeeper,Eintracht Frankfurt
Christian Vander,christian vander,100000,1980-10-24,,Goalkeeper,SV Werder Bremen
Martin Petrov,martin petrov,400000,1979-01-15,,Left Winger,RCD Espanyol Barcelona
Ivan Klasnic,ivan klasnic,500000,1980-01-29,,Centre-Forward,1.FSV Mainz 05
Simon Rolfes,simon rolfes,2000000,1982-01-21,,Defensive Midfield,Bayer 04 Leverkusen
Giuseppe Gemiti,giuseppe gemiti,75000,1981-05-03,,Left-Back,US Livorno 1915
Deniz Baris,deniz baris,300000,1977-07-02,,Centre-Back,Antalyaspor
David Jarolim,david jarolim,250000,1979-05-17,,Central Midfield,Thonon Évian Grand Genève FC
Hanno Balitsch,hanno balitsch,200000,1981-01-02,,Defensive Midfield,1.FC Nuremberg
Selim Teber,selim teber,175000,1981-03-07,,Central Midfield,Kardemir Karabükspor
Thorben Marx,thorben marx,300000,,,Defensive Midfield,Borussia Mönchengladbach
Jens Langeneke,jens langeneke,100000,1977-03-29,,Centre-Back,Fortuna Düsseldorf
Heinz Müller,heinz muller,200000,1978-05-30,,Goalkeeper,1.FSV Mainz 05
Ugur Inceman,ugur inceman,50000,1981-05-25,,Central Midfield,Konyaspor
Christian Weber,christian weber,50000,1983-09-15,,Right-Back,Fortuna Düsseldorf
Manuel Friedrich,manuel friedrich,500000,1979-09-13,,Centre-Back,Borussia Dortmund
Andriy Voronin,andriy voronin,500000,1979-07-21,,Second Striker,FK Dinamo Moskva
Julian de Guzmán,julian de guzman,250000,1981-03-25,,Defensive Midfield,AO Xanthi
