id,area,name,gender,age_group
649,AFC,AFC Asian Cup U20,male,U20
117,AFC,AFC Olympic Qualification Women Playoffs,female,adult
493,AFC,AFC U17 Asian Cup,male,U17
115,AFC,AFF Suzuki Cup,male,adult
445,AFC,ASEAN Club Championship,male,adult
35,AFC,Asian Cup,male,adult
521,AFC,Asian Cup Qualification,male,adult
602,AFC,CAFA Nations Cup,male,adult
147,AFC,Champions League,male,adult
448,AFC,Champions League Two,male,adult
182,AFC,EAFF E-1 Football Championship,male,adult
225,AFC,Gulf Cup of Nations,male,adult
588,AFC,U-23 Asian Cup,male,adult
181,AFC,WC Qualification Asia,male,adult
373,AFC,West Asia Championship U23,male,U23
567,AFC,Women's Champions League,female,adult
646,ALB,Kategoria Superiore,male,adult
594,ARE,UAE LEAGUE,male,U16
311,ARG,Copa Argentina,male,adult
70,ARG,Primera Division - 1st Phase,male,adult
376,ARG,Primera Division - 2nd Phase,male,adult
412,ARG,Primera Nacional,male,adult
525,ARG,Torneo Proyección,male,U23
533,ARM,Cup,male,adult
532,ARM,IDBank Premier League,male,adult
61,AUS,A-League,male,adult
410,AUS,A-League Women,female,adult
103,AUT,2. Liga,male,adult
88,AUT,Bundesliga,male,adult
605,AUT,Frauenliga,female,adult
592,AZE,Premyer Liqa,male,adult
119,BEL,1B Pro League,male,adult
91,BEL,Beker Van Belgie,male,adult
58,BEL,"Belgium First Division A, Playoffs 2A",male,adult
16,BEL,Pro League,male,adult
332,BGR,First League,male,adult
408,BIH,Premier League,male,adult
319,BOL,LFPB,male,adult
467,BRA,Brasileiro Women,female,adult
69,BRA,Campeonato Baiano,male,adult
638,BRA,Campeonato Cearense,male,adult
168,BRA,Carioca 1,male,adult
477,BRA,Catarinense 1,male,adult
167,BRA,CBF Brasileiro U20,male,U20
308,BRA,Copa do Brasil,male,adult
492,BRA,Copa do Brasil U20,male,U20
627,BRA,Copa do Nordeste,male,adult
341,BRA,Gaúcho 1,male,adult
501,BRA,Goiano 1,male,adult
239,BRA,Mineiro 1,male,adult
476,BRA,Paranaense 1,male,adult
474,BRA,Paulista A2,male,adult
68,BRA,"Paulista, Serie A1",male,adult
490,BRA,Paulista U20,male,U20
413,BRA,Paulista Women,female,adult
169,BRA,São Paulo Youth Cup,male,U20
77,BRA,Série A,male,adult
80,BRA,Série B,male,adult
465,BRA,Série C,male,adult
59,BRA,Série D,male,adult
335,BRA,Supercopa do Brasil,male,adult
37,CAF,Africa Cup of Nations,male,adult
193,CAF,Africa Cup of Nations Qualification,male,adult
197,CAF,African Nations Championship Qualification,male,adult
201,CAF,African Olympic Qualifiers,male,adult
317,CAF,African Super League,male,adult
213,CAF,Africa Women Cup of Nations,female,adult
148,CAF,Champions League,male,adult
330,CAF,Champions League - Preliminary Rounds,male,adult
619,CAF,Confederation Cup,male,adult
195,CAF,COSAFA Cup,male,adult
32,CAF,FIFA World Cup Qualifier,male,adult
118,CAF,U20 Africa Cup of Nations,male,U20
347,CAF,Women's Olympic Qualifying,female,adult
203,CAN,Canadian Premier League,male,adult
524,CAN,Northern Super League,female,adult
519,CHI,Primera B,male,adult
57,CHI,Primera Division,male,adult
632,CHN,Chinese Champions League,male,adult
631,CHN,League One,male,adult
47,CHN,Super League,male,adult
528,CIV,Ligue 1,male,adult
100,COL,Liga Dimayor,male,adult
653,COL,Liga Dimayor Clausura,male,adult
488,COL,Liga Femenina,female,adult
606,COL,Primera B,male,adult
159,CONCACAF,Champions League,male,adult
33,CONCACAF,FIFA World Cup Qualifier,male,adult
36,CONCACAF,Gold Cup,male,adult
234,CONCACAF,Gold Cup Qualification,male,adult
346,CONCACAF,Leagues Cup,male,adult
63,CONCACAF,Nations League - League A,male,adult
496,CONCACAF,Nations League - League B,male,adult
343,CONCACAF,Road to W Gold Cup - Play-Offs,female,adult
185,CONCACAF,U20,male,U20
342,CONCACAF,Women's Gold Cup,female,adult
337,CONCACAF,Women's U17 Championship,female,U17
238,CONCACAF,Women's U20 Championship,female,U20
187,CONCACAF,Women's WC Qualification,female,adult
51,CONMEBOL,Copa America,male,adult
214,CONMEBOL,Copa America Femenina,female,adult
109,CONMEBOL,Copa Libertadores,male,adult
612,CONMEBOL,Copa Libertadores Qualifying,male,adult
108,CONMEBOL,Copa Libertadores U20,male,U20
110,CONMEBOL,Copa Sudamericana,male,adult
39,CONMEBOL,FIFA World Cup Qualifier,male,adult
85,CONMEBOL,Pre-Olympic Tournament,male,adult
460,CONMEBOL,Pre-Olympic Tournament U23,male,U23
344,CONMEBOL,Recopa Sudamericana,male,adult
495,CONMEBOL,Sudamericano U17,male,U17
212,CONMEBOL,Sudamericano U20,male,U20
522,CONMEBOL,Women's Copa Libertadores,female,adult
456,CRI,Liga de Ascenso,male,adult
455,CRI,Primera División,male,adult
611,CRI,Primera División Clausura,male,adult
93,CRO,1.HNL,male,adult
223,CYP,1. Division,male,adult
517,CZE,1. Liga Women,female,adult
94,CZE,First League,male,adult
333,CZE,FNL,male,adult
145,DEN,1st Division,male,adult
210,DEN,DBU Pokalen,male,adult
227,DEN,Kvindeligaen,female,adult
89,DEN,Superliga,male,adult
643,DEN,U17 Drenge Ligaen,male,U17
205,DEN,U19 Ligaen,male,U19
452,DZA,Ligue 1,male,adult
138,ECU,Liga Pro,male,adult
499,ECU,Liga Pro Serie B,male,adult
207,EGY,Premier League,male,adult
451,ENG,Barclays Womens Championship,female,adult
66,ENG,Carabao Cup,male,adult
31,ENG,Championship,male,adult
54,ENG,Community Shield,male,adult
143,ENG,EFL Trophy,male,adult
19,ENG,FA Cup,male,adult
572,ENG,FA Women's Cup,female,adult
127,ENG,FA Women`s Super League,female,adult
101,ENG,League One,male,adult
204,ENG,League Two,male,adult
96,ENG,National League,male,adult
582,ENG,National League Cup,male,adult
647,ENG,National League North,male,adult
648,ENG,National League South,male,adult
1,ENG,Premier League,male,adult
155,ENG,Premier League 2,male,U23
79,ENG,Premier League 2 Division One,male,U21
578,ENG,Premier League Cup,male,U21
573,ENG,Premier League International Cup,male,adult
494,ENG,Professional Development League,male,U21
92,ENG,U18 Premier League,male,U18
580,ENG,U18 Premier League Cup,male,U18
537,ENG,Women's League Cup,female,adult
44,ESP,Copa del Rey,male,adult
614,ESP,Copa del Rey Juvenil,male,U19
208,ESP,División de Honor Juvenil,male,U19
4,ESP,LaLiga,male,adult
42,ESP,LaLiga 2,male,adult
621,ESP,Liga Nacional Juvenil,male,U18
132,ESP,Primera División Femenina,female,adult
133,ESP,Primera Division RFEF,male,adult
116,ESP,Segunda B,male,adult
545,ESP,Segunda Division RFEF,male,adult
598,ESP,Segunda RFEF,male,adult
134,ESP,Supercopa,male,adult
623,ESP,Superliga Alevín,male,U12
622,ESP,Superliga Cadete,male,U15
620,ESP,Superliga Infantil,male,U14
502,EST,A.LeCoq Premium Liiga,male,adult
130,FIFA,Confederations Cup,male,adult
516,FIFA,FIFA Club World Cup,male,adult
189,FIFA,U17 Women's World Cup,female,U17
327,FIFA,U17 World Cup,male,U17
178,FIFA,U20 Women's World Cup,female,U20
237,FIFA,U20 World Cup,male,U20
0,FIFA,World Cup,male,adult
48,FIFA,"World Cup, Women",female,adult
323,FIN,Veikkausliiga,male,adult
571,FIN,Ykkösliiga,male,adult
498,FRA,Challenge Espoirs,male,U23
340,FRA,Championnat National U19,male,U19
7,FRA,Coupe de France,male,adult
8,FRA,Coupe de la Ligue,male,adult
230,FRA,Feminine Division 1,female,adult
500,FRA,Feminine Division 2,female,adult
3,FRA,Ligue 1,male,adult
597,FRA,Ligue 1 Playoffs,male,adult
12,FRA,Ligue 2,male,adult
596,FRA,Ligue 2 Playoffs,male,adult
30,FRA,National,male,adult
523,FRA,National 2,male,adult
449,FRA,National 3,male,adult
52,FRA,Trophée des Champions,male,adult
508,GEO,Erovnuli Liga,male,adult
40,GER,2nd Bundesliga,male,adult
64,GER,3. Liga,male,adult
6,GER,Bundesliga,male,adult
574,GER,DFB Junioren Pokal,male,U19
84,GER,DFB-Pokal,male,adult
53,GER,DFL-Supercup,male,adult
338,GER,Frauen Bundesliga,female,adult
615,GER,Frauen Westfalenliga,female,adult
325,GER,Play-offs 1/2,male,adult
326,GER,Play-offs 2/3,male,adult
142,GER,Regionalliga,male,adult
542,GER,Regionalliga Bayern,male,adult
538,GER,Regionalliga Nord,male,adult
541,GER,Regionalliga Nordost,male,adult
539,GER,Regionalliga Südwest,male,adult
540,GER,Regionalliga West,male,adult
135,GER,U17 Bundesliga,male,U17
136,GER,U19 Bundesliga,male,U19
625,GHA,GARFA Division Two - Zone 3,male,adult
520,GHA,Premier League,male,adult
28,GRE,Super League,male,adult
320,GRE,Super League 2,male,adult
321,GRE,Super League K19,male,U19
444,HKG,Premier League,male,adult
618,HUN,Hungarian Cup,male,adult
507,HUN,MLSZ U15 Országos Kiemelt,male,U15
505,HUN,MLSZ U16 Országos Kiemelt,male,U16
506,HUN,MLSZ U19 Országos Kiemelt,male,U19
509,HUN,NB II,male,adult
98,HUN,Nemzeti Bajnokság,male,adult
608,IDN,EPA Super League U16,male,U16
645,IDN,Indonesia Super League,male,adult
65,IND,Indian Super League,male,adult
184,INT,Arab Cup,male,adult
