competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1265,Primeira Liga (PT),223,Aderllan Leandro de Jesus Santos,A. Santos,1989-04-09,65.9,12.72,20.48,17,16,1,34.0,2.12,0.0,0.0,0.38,0.25,10.8,0.19,0.19,0.31,0.12,0.0
1265,Primeira Liga (PT),728,André Geraldes de Barros,André Geraldes,1991-05-02,85.07,17.6,23.04,26,25,1,243.0,9.72,0.04,0.0,2.92,2.48,13.33,2.72,0.28,1.24,0.28,0.16
1265,Primeira Liga (PT),751,André Alexandre Carreira Sousa,André Sousa,1990-07-09,17.24,3.15,4.22,12,12,0,46.0,3.83,0.08,0.08,1.5,1.08,11.82,0.5,0.17,0.58,0.0,0.0
1265,Primeira Liga (PT),1223,Bas Kuipers,B. Kuipers,1994-08-17,86.8,23.25,22.06,17,17,0,469.0,27.59,0.76,0.18,7.12,5.76,14.01,8.24,2.18,7.06,1.88,1.24
1265,Primeira Liga (PT),1484,Armindo Tué Na Bangna,Bruma,1994-10-24,11.5,2.89,2.49,3,3,0,8.0,2.67,0.0,0.0,1.0,1.0,12.11,1.0,0.33,1.67,0.67,0.67
1265,Primeira Liga (PT),1652,Carlos dos Santos Rodrigues,Ponck,1995-01-13,67.99,12.91,21.19,16,15,1,26.0,1.73,0.0,0.0,0.53,0.4,11.45,0.07,0.13,0.27,0.07,0.0
1265,Primeira Liga (PT),1946,Cláudio Pires Morais Ramos,Cláudio Ramos,1991-11-16,72.18,25.17,13.5,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),2492,David  Martins Simão,David Simão,1990-05-15,56.78,13.87,14.95,12,11,1,119.0,10.82,0.09,0.0,3.09,2.91,10.01,0.64,0.0,0.18,0.0,0.0
1265,Primeira Liga (PT),2803,Dodi Lukébakio,D. Lukébakio,1997-09-24,48.89,14.55,10.59,17,17,0,269.0,15.82,1.18,0.06,6.88,5.12,14.38,6.18,2.24,4.76,1.71,1.12
1265,Primeira Liga (PT),3493,Florian Grillitsch,F. Grillitsch,1995-08-07,62.54,20.93,14.11,20,20,0,362.0,18.1,0.1,0.05,5.7,5.35,10.69,1.85,1.1,2.0,0.5,0.35
1265,Primeira Liga (PT),3665,Frederico André Ferrão Venâncio,Frederico Venâncio,1993-02-04,89.89,21.62,24.18,22,21,1,75.0,3.57,0.1,0.0,1.05,0.9,11.22,0.29,0.1,0.19,0.05,0.0
1265,Primeira Liga (PT),4261,Hélder Luís Lopes Vieira Tavares,Hélder Tavares,1989-12-26,35.16,7.34,10.29,20,20,0,119.0,5.95,0.15,0.0,1.6,1.0,12.92,1.0,0.15,1.05,0.25,0.05
1265,Primeira Liga (PT),4521,Ivan Ricardo Neves Abreu Cavaleiro,I. Cavaleiro,1993-10-18,70.95,16.11,18.33,13,13,0,267.0,20.54,0.92,0.0,7.69,5.77,13.59,6.31,3.23,6.85,2.0,1.08
1265,Primeira Liga (PT),4703,Jan Bednarek,J. Bednarek,1996-04-12,93.65,27.35,21.81,32,29,3,220.0,7.59,0.03,0.03,2.17,1.9,11.84,0.55,0.14,0.14,0.07,0.0
1265,Primeira Liga (PT),5049,João Ricardo Silva Afonso,João Afonso,1990-05-28,53.59,11.18,16.59,13,13,0,47.0,3.62,0.0,0.0,1.0,0.77,8.9,0.31,0.31,0.62,0.15,0.0
1265,Primeira Liga (PT),5053,João Miguel Coimbra Aurélio,João Aurélio,1988-08-17,69.8,14.42,18.08,21,20,1,256.0,12.8,0.3,0.0,4.2,3.65,13.85,3.0,1.0,1.4,0.35,0.3
1265,Primeira Liga (PT),5071,João Filipe Iria Santos Moutinho,João Moutinho,1986-09-08,76.21,26.22,16.83,31,31,0,414.0,13.35,0.19,0.0,5.68,5.23,9.85,0.65,0.52,1.42,0.42,0.29
1265,Primeira Liga (PT),5072,João Pedro Barradas Novais,João Novais,1993-07-10,30.16,6.02,7.37,2,2,0,13.0,6.5,0.5,0.0,2.0,0.5,15.23,0.5,0.0,2.0,1.0,0.5
1265,Primeira Liga (PT),5126,Joel Robles Blázquez,Joel Robles,1990-06-17,98.71,26.29,25.22,31,31,0,9.0,0.29,0.0,0.0,0.13,0.13,8.21,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),5241,Jonathan Buatu Mananga,Jonathan Buatu,1993-09-27,98.13,24.63,24.13,31,30,1,184.0,6.13,0.03,0.0,1.5,1.4,12.73,0.7,0.3,0.33,0.1,0.03
1265,Primeira Liga (PT),5396,José Miguel da Rocha Fonte,José Fonte,1983-12-22,88.46,18.85,22.65,18,18,0,89.0,4.94,0.0,0.0,1.67,1.5,9.75,0.39,0.33,0.39,0.17,0.06
1265,Primeira Liga (PT),6359,Lucas Eduardo dos Santos João,Lucas João,1993-09-04,20.68,4.74,5.0,19,18,1,94.0,5.22,0.17,0.0,1.61,0.78,15.17,1.0,1.11,2.94,0.94,0.28
1265,Primeira Liga (PT),6512,Luuk de Jong,L. de Jong,1990-08-27,67.03,21.38,16.47,5,3,2,105.0,35.0,1.33,0.0,12.33,8.0,13.56,9.0,9.0,22.0,5.0,2.33
1265,Primeira Liga (PT),7902,Nélson Miguel Castro Oliveira,Nélson Oliveira,1991-08-08,55.92,14.49,13.48,26,24,2,426.0,17.75,0.62,0.08,5.21,3.12,14.03,5.12,5.0,9.33,2.5,1.0
1265,Primeira Liga (PT),8029,Nicolás Hernán Otamendi,N. Otamendi,1988-02-12,95.62,28.09,21.25,30,29,1,298.0,10.28,0.03,0.0,4.62,4.48,11.82,1.28,0.86,1.03,0.1,0.0
1265,Primeira Liga (PT),8598,Pedro José  da Silva Trigueira,P. Trigueira,1988-01-04,12.56,1.56,3.9,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),8729,Luís Miguel Afonso Fernandes,Pizzi,1989-10-06,33.78,9.32,8.44,23,23,0,192.0,8.35,0.22,0.0,2.7,2.22,11.26,0.61,1.0,2.87,0.61,0.35
1265,Primeira Liga (PT),8790,Rafael Alexandre Fernandes Ferreira da Silva,Rafa Silva,1993-05-17,62.67,18.95,13.6,16,16,0,604.0,37.75,1.44,0.25,10.12,6.44,14.24,12.31,10.19,20.81,5.31,2.88
1265,Primeira Liga (PT),8791,Luís Rafael Soares Alves,Rafa Soares,1995-05-09,79.07,20.69,20.13,24,23,1,485.0,21.09,0.43,0.13,6.13,5.35,15.71,5.87,1.52,3.96,0.87,0.74
1265,Primeira Liga (PT),8983,Ricardo Jorge Luz Horta,Ricardo Horta,1994-09-15,83.94,28.66,18.6,28,28,0,1073.0,38.32,1.18,0.32,12.07,8.36,13.09,8.71,8.18,16.5,4.29,2.11
1265,Primeira Liga (PT),9195,Rodrigo Cunha Pereira de Pinho,Rodrigo Pinho,1991-05-30,46.52,10.49,12.39,28,27,1,377.0,13.96,0.48,0.07,3.93,1.7,15.53,3.89,3.26,8.15,2.52,0.78
1265,Primeira Liga (PT),9354,Rúben Afonso Borges Semedo,Rúben Semedo,1994-04-04,94.1,19.8,26.33,9,9,0,36.0,4.0,0.11,0.0,1.44,1.0,11.03,0.22,0.11,0.22,0.11,0.0
1265,Primeira Liga (PT),9385,Rui Tiago Dantas da Silva,Rui Silva,1994-02-07,99.66,32.28,21.24,32,31,1,9.0,0.29,0.0,0.0,0.1,0.1,6.33,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),9703,Seko Mohamed Fofana,S. Fofana,1995-05-07,32.72,8.02,7.62,12,11,1,119.0,10.82,0.36,0.0,3.64,2.55,15.77,3.09,1.73,4.18,1.55,0.55
1265,Primeira Liga (PT),9734,Sergi Gómez Solà,Sergi Gómez,1992-03-28,95.48,22.04,27.11,28,28,0,127.0,4.54,0.04,0.0,0.96,0.96,10.04,0.18,0.18,0.18,0.04,0.04
1265,Primeira Liga (PT),10246, Theoson-Jordan  Siebatcheu,j.Siebatcheu,1996-04-26,62.85,13.51,17.9,22,22,0,474.0,21.55,0.59,0.0,7.05,3.09,13.48,5.77,6.27,14.18,4.64,1.73
1265,Primeira Liga (PT),10253,Thiago Emiliano da Silva,Thiago Silva,1984-09-22,76.82,22.68,16.99,8,7,1,31.0,4.43,0.0,0.0,2.14,2.14,9.57,0.43,0.14,0.0,0.0,0.0
1265,Primeira Liga (PT),10342,Tiago Rafael Maia da Silva,Tiago Silva,1993-06-02,76.03,17.83,15.77,4,3,1,35.0,11.67,0.0,0.0,4.67,4.33,11.83,1.0,0.33,0.67,0.33,0.33
1265,Primeira Liga (PT),10459,António Manuel Fernandes Mendes,Tomané,1992-10-23,72.85,14.86,22.24,29,28,1,565.0,20.18,0.5,0.04,7.0,3.43,13.87,4.36,4.07,9.68,3.04,1.04
1265,Primeira Liga (PT),10749,Vítor Hugo Gomes da Silva,Vítor Gomes,1987-12-25,43.23,9.75,12.43,6,6,0,71.0,11.83,0.67,0.0,3.33,2.67,15.39,2.0,0.67,2.83,0.83,0.83
