competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1396,Eliteserien (NO),4560,Iver Tobias Rørvik Fossum,I. Fossum,1996-07-15,68.59,18.74,17.64,13,12,1,443.0,36.92,0.83,2.26,6.58,17.83,0.5,1.35,1.08,2.93,4.25,2.08,5.64,0.17,0.45,0.67,1.81,8.33,6.25,10.5,12.0,1.25,3.98,2.58,7.0
1396,Eliteserien (NO),4626,Jakob Let Haugaard,J. Haugaard,1992-05-01,99.01,30.24,30.67,16,16,0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
1396,Eliteserien (NO),5035,Jo Inge Berget,J. Berget,1990-09-11,26.05,6.7,7.46,8,8,0,111.0,13.88,0.38,2.7,1.25,9.01,0.0,0.0,0.5,3.6,1.62,1.25,9.01,0.0,0.0,0.12,0.9,6.12,2.25,5.5,1.5,0.0,0.0,1.12,8.11
1396,Eliteserien (NO),6545,Magnus  Wolff Eikrem,M. Wolff Eikrem,1990-08-08,47.49,12.77,15.06,12,12,0,382.0,31.83,0.17,0.52,4.17,13.09,0.17,0.52,0.75,2.35,3.0,3.17,9.95,0.0,0.0,0.0,0.0,15.0,5.33,12.0,2.83,0.17,1.72,3.33,10.47
1396,Eliteserien (NO),7208,Mats  Møller Dæhli,M. Møller Dæhli,1995-03-02,83.48,27.84,21.84,8,8,0,321.0,40.12,2.5,6.23,7.38,18.38,0.25,0.62,1.12,2.8,6.62,2.12,5.29,0.25,0.62,1.25,3.12,7.5,7.0,8.62,17.5,3.12,8.46,2.75,6.85
1396,Eliteserien (NO),7389,Menno Koch,M. Koch,1994-07-02,62.12,12.96,19.41,9,9,0,62.0,6.89,0.67,9.68,1.44,20.97,0.11,1.61,0.11,1.61,1.11,0.11,1.61,0.22,3.23,0.33,4.84,1.22,0.22,1.67,4.44,1.22,19.07,0.0,0.0
1396,Eliteserien (NO),8175,Ole Kristian Selnæs,O. Selnæs,1994-07-07,74.54,20.5,18.92,13,12,1,364.0,30.33,1.33,4.39,5.0,16.48,0.42,1.37,1.08,3.57,3.92,1.08,3.57,0.17,0.55,0.33,1.1,7.83,4.25,6.0,10.67,2.58,9.19,2.17,7.14
1396,Eliteserien (NO),11774,Fredrik Gulbrandsen,F. Gulbrandsen,1992-09-10,51.42,16.81,12.47,15,15,0,374.0,24.93,0.33,1.34,3.6,14.44,0.07,0.27,1.33,5.35,5.73,1.73,6.95,0.0,0.0,0.27,1.07,10.87,3.47,7.8,3.0,0.13,0.99,1.87,7.49
1396,Eliteserien (NO),12011,Jonas Svensson,J. Svensson,1993-03-06,56.19,16.88,13.36,11,10,1,220.0,22.0,1.0,4.55,4.8,21.82,0.2,0.91,0.8,3.64,2.5,0.8,3.64,0.5,2.27,0.7,3.18,6.0,4.3,6.6,6.8,1.4,7.64,0.9,4.09
1396,Eliteserien (NO),12028,Sigurd Rosted,S. Rosted,1994-07-22,96.47,25.66,30.55,6,6,0,92.0,15.33,0.83,5.43,3.0,19.56,0.17,1.09,0.5,3.26,1.83,0.17,1.09,0.33,2.17,0.17,1.09,3.33,1.67,3.17,8.67,2.83,18.94,0.0,0.0
1396,Eliteserien (NO),13029,Jón Dagur Thorsteinsson,J. Thorsteinsson,1998-11-26,73.39,22.93,17.19,12,12,0,459.0,38.25,0.92,2.4,6.0,15.68,0.42,1.09,1.08,2.83,7.0,2.67,6.97,0.08,0.22,0.25,0.65,14.75,6.75,11.17,7.42,1.08,2.9,3.17,8.28
1396,Eliteserien (NO),13032,Haitam Aleesami,H. Aleesami,1991-07-31,88.65,34.91,20.9,13,13,0,175.0,13.46,1.0,7.43,3.46,25.71,0.15,1.14,0.77,5.71,2.31,0.23,1.71,0.38,2.86,0.62,4.57,3.15,1.15,1.69,6.69,1.54,12.83,0.23,1.71
