competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1171,Ekstraklasa (PL),988,Antonio Milić,A. Milić,1994-03-10,91.59,27.22,21.91,24,24,0,278.0,11.58,0.5,4.32,2.0,17.27,0.17,1.44,0.46,3.96,1.71,0.12,1.08,0.67,5.75,0.42,3.6,2.0,1.04,2.12,7.0,1.17,11.21,0.08,0.72
1171,Ekstraklasa (PL),1001,Antonio-Mirko Čolak,A. Čolak,1993-09-17,25.35,7.88,5.58,13,12,1,156.0,13.0,0.08,0.64,1.92,14.74,0.08,0.64,0.5,3.85,2.83,0.67,5.13,0.0,0.0,0.0,0.0,5.67,2.25,4.83,0.83,0.08,1.02,0.75,5.77
1171,Ekstraklasa (PL),1034,Arkadiusz Woźniak,A. Woźniak,1990-06-01,11.18,1.43,2.97,3,3,0,17.0,5.67,0.0,0.0,0.67,11.77,0.0,0.0,0.0,0.0,1.67,0.33,5.88,0.0,0.0,0.0,0.0,1.67,1.67,1.67,1.0,0.0,0.0,0.33,5.88
1171,Ekstraklasa (PL),1069,Artem Putivtsev,A. Putivtsev,1988-08-29,63.6,15.56,17.11,17,17,0,283.0,16.65,0.53,3.18,2.94,17.67,0.47,2.83,0.47,2.83,2.65,0.29,1.77,1.0,6.01,0.94,5.65,3.06,2.47,3.29,9.0,1.53,9.1,0.71,4.24
1171,Ekstraklasa (PL),1081,Artur Jędrzejczyk,A. Jędrzejczyk,1987-11-04,46.79,13.01,11.63,11,10,1,50.0,5.0,0.1,2.0,1.0,20.0,0.0,0.0,0.4,8.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,1.2,2.7,0.5,11.11,0.1,2.0
1171,Ekstraklasa (PL),1208,Bartlomiej Pawłowski,B. Pawłowski,1992-11-13,30.68,7.4,8.14,19,19,0,363.0,19.11,0.47,2.48,2.11,11.02,0.26,1.38,0.58,3.03,2.58,1.58,8.26,0.0,0.0,0.11,0.55,7.74,3.05,7.32,3.21,0.26,4.19,2.11,11.02
1171,Ekstraklasa (PL),1214,Bartosz Kapustka,B. Kapustka,1996-12-23,71.57,21.03,16.88,27,25,2,951.0,38.04,1.48,3.89,6.56,17.25,0.16,0.42,1.4,3.68,6.04,2.44,6.42,0.2,0.53,0.36,0.95,13.32,6.92,11.4,8.32,1.32,4.47,3.28,8.62
1171,Ekstraklasa (PL),1292,Benjamin Mendy,B. Mendy,1994-07-17,38.93,9.29,10.04,11,11,0,103.0,9.36,0.73,7.77,2.18,23.3,0.45,4.85,0.82,8.74,1.09,0.36,3.88,0.45,4.85,0.64,6.8,1.27,1.09,2.0,5.27,0.73,9.74,0.45,4.85
1171,Ekstraklasa (PL),1904,Christos Donis,C. Donis,1994-10-09,56.01,14.25,13.24,27,27,0,537.0,19.89,0.7,3.54,2.93,14.71,0.26,1.3,0.78,3.91,1.74,1.19,5.96,0.26,1.3,0.41,2.05,5.07,2.96,5.37,6.78,0.78,5.13,1.26,6.33
1171,Ekstraklasa (PL),2115,Damian Dąbrowski,D. Dąbrowski,1992-08-27,82.09,16.33,23.76,25,25,0,1010.0,40.4,1.24,3.07,5.88,14.55,0.44,1.09,1.52,3.76,4.2,1.96,4.85,0.36,0.89,0.64,1.58,8.48,7.2,10.56,16.8,2.24,5.69,3.72,9.21
