competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
1215,1. HNL (HR),433,Aleksandar Trajkovski,A. Trajkovski,1992-09-05,61.32,15.75,17.47,9,8,1,388.0,48.5,0.12,1.0,105.0,13.12,11.0,83.81,83.55,13.45,0.88,4.5,1.75,0.62,0.0,5.0,0.75,0.62,16.38,4.12,3.38,81.82,76.53,0.62,0.12,9.12,1.75,64.29,1.12,1.75
1215,1. HNL (HR),903,Ante Rebić,A. Rebić,1993-09-21,74.67,22.68,16.71,26,25,1,1638.0,65.52,0.16,1.76,485.0,19.4,12.6,64.95,69.55,13.99,0.64,7.44,2.04,1.52,0.52,3.96,1.56,0.84,25.52,9.36,5.68,60.68,61.71,1.24,0.2,27.16,7.36,53.26,3.92,7.76
1215,1. HNL (HR),2343,Dario Melnjak,D. Melnjak,1992-10-31,45.14,13.96,10.39,22,20,2,987.0,49.35,0.05,1.0,366.0,18.3,14.5,79.23,79.03,17.3,1.7,5.5,3.8,0.85,0.75,9.75,3.2,2.35,12.75,4.7,3.75,79.79,69.04,0.45,0.0,10.6,3.5,48.57,1.7,5.4
1215,1. HNL (HR),2882,Duje Čop,D. Čop,1990-02-01,41.79,11.1,10.15,25,25,0,440.0,17.6,0.04,0.56,148.0,5.92,4.68,79.05,73.69,12.1,0.16,2.68,0.96,0.56,0.24,0.4,0.04,0.0,5.08,2.2,1.72,78.18,72.8,0.32,0.04,5.52,1.64,63.42,1.04,2.04
1215,1. HNL (HR),3442,Filip Krovinović,F. Krovinović,1995-08-29,79.95,24.43,17.84,29,27,2,3132.0,116.0,0.26,2.48,1010.0,37.41,33.26,88.91,88.36,14.36,1.41,11.22,6.67,0.93,0.78,20.44,5.67,5.0,20.41,7.7,6.78,87.98,84.25,0.96,0.15,15.89,3.74,72.28,2.7,4.48
1215,1. HNL (HR),5483,Josip Posavec,J. Posavec,1996-03-10,98.09,26.7,25.42,32,31,1,2338.0,75.42,0.0,0.03,850.0,27.42,22.26,81.18,87.44,24.45,5.03,5.48,1.74,0.0,0.0,26.03,6.06,2.74,17.52,6.0,5.74,95.7,94.53,0.03,0.0,0.0,0.0,,0.0,3.29
1215,1. HNL (HR),5484,Josip Radošević,J. Radošević,1994-04-03,96.41,25.15,26.82,32,32,0,4035.0,126.09,0.12,1.56,1245.0,38.91,33.53,86.18,86.89,15.5,2.34,11.09,6.97,0.66,0.69,20.03,4.72,3.31,14.5,5.75,4.62,80.44,79.9,0.5,0.03,12.03,3.19,57.84,1.84,5.47
1215,1. HNL (HR),6908,Mario Tičinović,M. Tičinović,1991-08-20,78.22,18.11,22.31,24,22,2,1804.0,82.0,0.14,0.95,542.0,24.64,17.82,72.32,77.31,17.41,2.18,5.91,3.0,0.59,0.23,15.55,4.55,2.91,22.05,6.09,4.41,72.39,69.73,0.55,0.14,14.82,3.5,35.07,1.23,7.73
1215,1. HNL (HR),6975,Marko Livaja,M. Livaja,1993-08-26,73.07,22.28,17.44,26,25,1,1330.0,53.2,0.28,1.84,367.0,14.68,9.84,67.03,72.39,15.03,0.76,5.16,1.84,1.2,0.76,5.24,1.84,1.08,22.56,6.96,4.12,59.2,64.28,1.2,0.2,20.6,5.84,50.0,2.92,5.28
1215,1. HNL (HR),9610,Scott McKenna,S. McKenna,1996-11-12,94.91,29.26,22.93,30,30,0,4227.0,140.9,0.3,1.2,1836.0,61.2,56.6,92.48,94.67,19.17,3.8,8.4,16.67,0.13,0.13,32.27,8.63,6.9,15.0,6.43,5.63,87.57,85.23,0.23,0.07,2.73,1.03,64.52,0.67,3.8
1215,1. HNL (HR),10498,Tomislav Božić,T. Božić,1987-11-01,93.37,23.62,24.29,27,26,1,2801.0,107.73,0.08,1.08,1026.0,39.46,33.62,85.18,88.42,19.15,3.5,8.38,7.31,0.04,0.12,32.58,9.15,6.35,17.08,6.23,5.27,84.57,82.56,0.27,0.04,6.54,1.35,34.29,0.46,6.0
1215,1. HNL (HR),11837,Dominik Livaković,D. Livaković,1995-01-09,96.49,31.8,23.4,14,14,0,758.0,54.14,0.0,0.07,332.0,23.71,20.07,84.64,89.34,21.93,3.79,3.79,3.0,0.0,0.0,15.29,4.93,2.64,14.57,5.29,5.0,94.59,95.88,0.0,0.0,0.0,0.0,,0.0,2.36
1215,1. HNL (HR),12171,Rafael Euclides Soares Camacho,Rafael Camacho,2000-05-22,42.81,9.49,12.34,9,9,0,276.0,30.67,0.11,0.33,71.0,7.89,5.67,71.83,73.86,15.92,0.44,1.67,1.44,0.11,0.11,2.78,0.56,0.33,11.44,3.11,2.22,71.43,70.53,0.33,0.11,10.0,1.67,33.33,0.56,3.0
1215,1. HNL (HR),12194,Ronaël Pierre-Gabriel,R. Pierre-Gabriel,1998-06-13,43.23,9.73,5.62,1,1,0,42.0,42.0,0.0,2.0,12.0,12.0,11.0,91.67,78.96,12.87,1.0,4.0,4.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,1.0,100.0,89.07,0.0,0.0,13.0,3.0,66.67,2.0,4.0
1215,1. HNL (HR),12221,Yassine Benrahou,Y. Benrahou,1999-01-24,53.86,16.99,11.43,4,3,1,219.0,73.0,0.0,1.0,64.0,21.33,17.67,82.81,82.54,13.99,1.0,6.67,5.0,0.67,0.67,8.0,2.0,1.33,17.67,6.67,4.0,60.0,72.41,0.0,0.0,16.0,4.33,53.85,2.33,4.33
1215,1. HNL (HR),12372,Smail Prevljak,S. Prevljak,1995-05-10,84.81,22.47,22.74,32,32,0,1329.0,41.53,0.16,1.16,397.0,12.41,9.47,76.32,78.69,12.27,0.19,3.75,2.41,0.72,0.72,1.53,0.31,0.16,15.66,5.09,3.75,73.62,74.88,0.53,0.12,13.5,2.78,57.3,1.59,2.91
1215,1. HNL (HR),12418,Amer Gojak,A. Gojak,1997-02-13,58.23,15.32,14.62,30,29,1,1358.0,46.83,0.07,0.72,441.0,15.21,11.41,75.06,78.3,15.63,0.66,4.03,2.14,0.55,0.48,3.66,0.83,0.48,14.9,4.93,3.24,65.74,69.7,0.41,0.07,13.52,3.45,41.0,1.41,4.17
1215,1. HNL (HR),12421,Marko Lešković,M. Lešković,1991-04-27,44.2,10.62,13.32,4,3,1,126.0,42.0,0.0,0.33,53.0,17.67,15.33,86.79,89.14,19.05,1.33,6.67,1.67,0.0,0.0,12.0,3.0,2.0,6.33,3.67,2.33,63.64,75.4,0.0,0.0,1.67,0.67,0.0,0.0,2.33
1215,1. HNL (HR),12428,Kévin Theophile-Catherine,K. Theophile-Catherine,1989-10-28,74.13,21.09,16.28,3,3,0,286.0,95.33,0.0,0.0,127.0,42.33,38.33,90.55,92.15,16.58,1.0,8.0,14.33,0.0,0.0,20.0,4.67,3.33,9.0,4.0,3.0,75.0,79.92,0.0,0.0,2.33,1.0,0.0,0.0,4.67
1215,1. HNL (HR),12429,Marin Leovac,M. Leovac,1988-08-07,30.73,8.95,7.42,8,8,0,281.0,35.12,0.0,0.88,107.0,13.38,10.25,76.63,78.32,16.25,0.5,3.38,3.5,0.38,0.25,9.62,2.62,1.5,11.38,4.25,2.75,64.71,60.26,0.38,0.0,4.88,1.5,41.67,0.62,4.12
1215,1. HNL (HR),12592,Borna  Barišić,B. Barišić,1992-11-10,66.77,17.72,16.93,10,10,0,808.0,80.8,0.0,1.4,298.0,29.8,25.8,86.58,84.89,16.15,2.7,5.8,8.1,0.5,0.4,17.0,6.0,4.7,22.5,7.7,5.8,75.33,70.6,0.6,0.0,12.3,3.0,50.0,1.5,5.3
1215,1. HNL (HR),12593,Marko Rog ,M. Rog,1995-07-19,10.52,2.67,1.52,2,2,0,29.0,14.5,0.0,0.0,7.0,3.5,3.5,100.0,86.16,17.44,0.5,1.0,0.5,0.0,0.0,5.0,0.5,0.5,6.0,1.0,1.0,100.0,87.83,0.0,0.0,3.5,0.5,100.0,0.5,0.5
1215,1. HNL (HR),13013,Miha Zajc,M. Zajc,1994-07-01,71.21,22.61,17.62,24,24,0,2213.0,92.21,0.42,2.75,757.0,31.54,27.33,86.66,87.28,14.84,1.46,10.83,5.42,1.71,0.96,12.04,3.38,2.54,16.79,6.42,4.96,77.27,78.2,1.12,0.12,18.79,4.83,63.79,3.08,4.62
1215,1. HNL (HR),13038,Leo Štulac,L. Štulac,1994-09-26,71.73,18.81,20.39,10,10,0,1019.0,101.9,0.0,1.2,324.0,32.4,28.9,89.2,87.89,16.16,1.7,7.0,6.9,0.2,0.3,19.2,5.3,4.7,15.0,5.3,4.6,86.79,78.62,0.3,0.0,9.9,2.5,60.0,1.5,5.0
1215,1. HNL (HR),13301,Mateo Barać,M. Barać,1994-07-20,63.18,14.01,21.31,9,9,0,522.0,58.0,0.0,0.33,196.0,21.78,17.44,80.1,85.03,23.89,4.78,4.22,2.56,0.0,0.0,14.56,5.44,3.56,5.78,3.22,2.33,72.42,76.82,0.22,0.0,0.44,0.22,50.0,0.11,3.67
1215,1. HNL (HR),13308,Dejan Ljubičić,D. Ljubičić,1997-10-08,71.68,21.12,18.51,15,15,0,1059.0,70.6,0.53,3.47,375.0,25.0,22.07,88.27,87.54,13.53,0.6,8.53,6.07,0.8,0.93,6.67,1.4,1.13,15.33,5.93,4.6,77.53,74.77,1.27,0.27,14.8,3.93,72.88,2.87,3.0
1215,1. HNL (HR),13582,Mario Šitum,M. Šitum,1992-04-04,42.89,11.52,11.01,16,15,1,919.0,61.27,0.2,0.73,256.0,17.07,13.87,81.25,82.68,18.12,1.8,3.07,2.27,0.53,0.13,12.2,2.33,1.6,16.53,3.73,3.07,82.14,72.33,0.4,0.13,8.6,1.93,31.03,0.6,4.0
1215,1. HNL (HR),13583,Luka Menalo,L. Menalo,1996-07-22,56.74,15.86,13.74,15,15,0,773.0,51.53,0.13,1.2,215.0,14.33,10.53,73.49,77.59,14.67,0.47,3.4,1.8,0.6,0.13,5.47,1.27,0.73,21.13,6.33,4.4,69.47,67.99,0.8,0.13,16.4,3.67,45.46,1.67,4.13
1215,1. HNL (HR),13609,Dario Maresić,D. Maresić,1999-09-29,96.29,27.17,25.34,34,33,1,6358.0,192.67,0.12,1.45,1965.0,59.55,51.7,86.82,87.72,17.87,5.21,10.61,7.27,0.12,0.18,61.79,18.18,14.06,24.45,9.15,7.48,81.79,77.09,0.42,0.09,8.12,2.42,55.0,1.33,8.7
1215,1. HNL (HR),13775,Domagoj Antolić,D. Antolić,1990-06-30,53.43,16.3,12.04,12,12,0,1211.0,100.92,0.08,1.58,370.0,30.83,28.5,92.43,91.08,16.46,2.25,6.92,5.67,0.5,0.5,17.92,4.0,3.5,14.92,5.92,5.17,87.32,82.86,1.0,0.08,12.08,2.5,56.67,1.42,2.58
1215,1. HNL (HR),13779,Marko Vešović,M. Vešović,1991-08-28,83.63,22.87,21.34,26,25,1,2300.0,92.0,0.32,1.72,661.0,26.44,20.0,75.64,79.38,16.93,2.28,4.52,4.0,0.72,0.6,15.12,2.92,2.0,31.96,9.4,6.32,67.23,71.75,1.04,0.24,17.28,4.72,35.59,1.68,7.16
1215,1. HNL (HR),13785,Sandro Kulenović,S. Kulenović,1999-12-04,37.57,10.88,7.71,16,16,0,299.0,18.69,0.06,0.5,114.0,7.12,5.75,80.7,81.2,12.87,0.25,3.0,1.5,0.5,0.25,0.06,0.0,0.0,6.25,2.25,1.56,69.45,72.09,0.25,0.0,5.94,1.81,65.52,1.19,1.25
1215,1. HNL (HR),14125,Ismael Bennacer,I. Bennacer,1997-12-01,57.36,17.49,13.64,18,18,0,2041.0,113.39,0.44,2.22,604.0,33.56,30.0,89.4,88.8,15.41,2.11,6.61,5.0,0.33,0.67,19.72,5.94,4.56,17.17,6.5,5.33,82.05,77.3,0.72,0.06,13.22,3.33,58.33,1.94,3.83
1215,1. HNL (HR),14128,Arnel Jakupović,A. Jakupović,1998-05-29,78.59,20.15,21.37,30,29,1,1115.0,38.45,0.03,0.97,366.0,12.62,10.0,79.23,79.31,12.32,0.34,4.93,3.31,0.76,0.66,2.34,0.76,0.52,14.1,4.62,3.69,79.85,73.64,0.66,0.0,10.1,2.83,69.51,1.97,2.79
1215,1. HNL (HR),14144,Marko Pajač,M. Pajač,1993-05-11,93.37,25.55,24.53,29,28,1,4185.0,149.46,0.18,2.04,1236.0,44.14,33.36,75.57,77.87,17.49,4.04,9.25,8.29,1.32,0.79,33.11,8.0,4.86,45.61,14.61,9.64,66.01,64.92,1.07,0.04,29.29,7.43,39.9,2.96,13.0
1215,1. HNL (HR),14566,Ivan Fiolić,I. Fiolić,1996-04-29,34.31,9.07,9.3,22,21,1,816.0,38.86,0.1,0.81,258.0,12.29,9.14,74.42,77.21,16.33,1.05,3.95,2.48,0.62,0.71,5.14,1.76,1.1,12.24,4.0,2.86,71.43,70.84,0.29,0.05,9.9,2.67,53.57,1.43,3.29
1215,1. HNL (HR),14593,Jakov Filipović,J. Filipović,1992-10-17,96.65,24.2,27.84,34,33,1,3061.0,92.76,0.0,0.45,1226.0,37.15,32.36,87.11,91.94,19.0,2.58,9.94,6.42,0.12,0.0,21.94,5.21,3.88,10.91,4.0,3.52,87.88,87.87,0.03,0.0,0.91,0.12,25.0,0.03,3.67
1215,1. HNL (HR),16063,Josip Mišić,J. Mišić,1994-06-28,92.29,28.37,22.08,31,31,0,4507.0,145.39,0.35,2.68,1440.0,46.45,41.61,89.58,89.09,18.9,5.29,12.42,8.39,0.48,0.74,28.45,7.77,6.13,23.26,8.1,6.9,85.26,77.86,0.97,0.16,16.19,4.13,60.94,2.52,5.77
1215,1. HNL (HR),16455,Ante Erceg,A. Erceg,1989-12-12,56.41,14.99,15.32,20,20,0,952.0,47.6,0.05,1.15,307.0,15.35,12.15,79.15,79.76,11.27,0.25,5.65,2.1,0.5,0.1,2.55,0.6,0.35,16.1,4.2,3.3,78.57,73.5,0.55,0.0,14.7,2.55,58.82,1.5,3.1
