competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1396,Eliteserien (NO),4560,Iver Tobias Rørvik Fossum,I. Fossum,1996-07-15,68.59,18.74,17.64,13,12,1,1175.0,97.92,27.92,23.58,1.92,0.33,21.67,16.33,19.17,36.75,65.83,32.08,7.67,0.92,0.5,0.08
1396,Eliteserien (NO),4626,Jakob Let Haugaard,J. Haugaard,1992-05-01,99.01,30.24,30.67,16,16,0,1019.0,63.69,30.31,30.0,0.06,0.06,0.0,0.0,30.62,0.12,0.06,63.62,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),5035,Jo Inge Berget,J. Berget,1990-09-11,26.05,6.7,7.46,8,8,0,265.0,33.12,10.5,6.88,0.88,0.0,8.38,9.25,4.25,10.62,25.88,7.25,3.5,0.12,0.0,0.0
1396,Eliteserien (NO),6545,Magnus  Wolff Eikrem,M. Wolff Eikrem,1990-08-08,47.49,12.77,15.06,12,12,0,820.0,68.33,21.0,16.0,1.42,0.25,16.42,12.83,11.58,19.25,49.92,18.42,7.08,0.58,0.17,0.0
1396,Eliteserien (NO),7208,Mats  Møller Dæhli,M. Møller Dæhli,1995-03-02,83.48,27.84,21.84,8,8,0,1254.0,156.75,54.25,52.38,2.0,0.38,16.75,2.75,47.25,48.12,72.88,83.88,0.38,0.0,0.0,0.0
1396,Eliteserien (NO),7389,Menno Koch,M. Koch,1994-07-02,62.12,12.96,19.41,9,9,0,359.0,39.89,12.78,11.78,0.22,0.0,0.56,2.67,11.44,7.89,4.0,35.89,2.33,0.44,0.22,0.0
1396,Eliteserien (NO),8175,Ole Kristian Selnæs,O. Selnæs,1994-07-07,74.54,20.5,18.92,13,12,1,1053.0,87.75,29.0,27.42,1.42,0.25,12.42,3.25,22.92,20.5,55.67,32.08,1.17,0.08,0.0,0.0
1396,Eliteserien (NO),11774,Fredrik Gulbrandsen,F. Gulbrandsen,1992-09-10,51.42,16.81,12.47,15,15,0,1087.0,72.47,16.93,8.4,1.53,0.27,23.53,27.93,4.13,11.0,53.2,19.27,12.0,0.67,0.33,0.0
1396,Eliteserien (NO),12011,Jonas Svensson,J. Svensson,1993-03-06,56.19,16.88,13.36,11,10,1,720.0,72.0,23.6,22.0,1.2,0.1,8.9,3.9,20.1,40.5,16.1,55.9,2.1,0.3,0.2,0.0
1396,Eliteserien (NO),12028,Sigurd Rosted,S. Rosted,1994-07-22,96.47,25.66,30.55,6,6,0,587.0,97.83,32.83,31.0,1.0,0.0,1.5,4.0,31.33,24.83,7.33,90.5,2.67,0.5,0.33,0.0
