competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1396,Eliteserien (NO),4560,Iver Tobias Rørvik Fossum,I. Fossum,1996-07-15,68.59,18.74,17.64,13,12,1,392.0,32.67,25.25,77.3,3.08,0.42,3.62,1.26,268.0,22.33,18.92,84.7,1.83,1.0,54.55,18.75,52.0,4.33,3.42,2.67,1.83,0.83,0.58,0.42,71.43,78.85,68.75,1.67,1.83,0.25,0.0,0.25,0.25,100.0,2.58,0.08,3.23,4.67,1.0,21.43,0.67,14.29
1396,Eliteserien (NO),4626,Jakob Let Haugaard,J. Haugaard,1992-05-01,99.01,30.24,30.67,16,16,0,675.0,42.19,28.56,67.7,0.38,0.19,5.18,3.63,476.0,29.75,21.44,72.06,0.44,0.31,71.43,29.88,143.0,8.94,6.06,4.5,3.19,0.0,0.0,0.0,,67.83,70.83,0.0,0.0,0.0,0.0,0.38,0.12,33.33,0.5,0.0,0.0,0.75,0.38,50.0,0.0,0.0
1396,Eliteserien (NO),5035,Jo Inge Berget,J. Berget,1990-09-11,26.05,6.7,7.46,8,8,0,68.0,8.5,5.62,66.18,1.5,0.0,5.39,1.49,42.0,5.25,4.0,76.19,0.38,0.12,33.33,4.25,14.0,1.75,1.12,1.0,0.5,0.38,0.38,0.25,66.67,64.29,50.0,0.0,0.12,0.38,0.0,0.0,0.0,,0.62,0.12,20.0,1.25,0.0,0.0,0.62,50.0
1396,Eliteserien (NO),6545,Magnus  Wolff Eikrem,M. Wolff Eikrem,1990-08-08,47.49,12.77,15.06,12,12,0,237.0,19.75,15.25,77.21,2.42,0.33,2.94,1.08,183.0,15.25,12.17,79.78,1.42,0.75,52.94,11.5,21.0,1.75,1.33,1.25,0.83,0.67,0.58,0.33,57.14,76.19,66.67,0.25,1.33,0.33,0.25,0.42,0.33,80.0,2.08,0.17,8.0,3.42,0.58,17.07,0.67,19.51
1396,Eliteserien (NO),7208,Mats  Møller Dæhli,M. Møller Dæhli,1995-03-02,83.48,27.84,21.84,8,8,0,548.0,68.5,59.12,86.32,3.75,0.38,5.98,2.14,423.0,52.88,49.0,92.67,1.62,0.75,46.15,46.5,154.0,19.25,17.0,9.5,8.25,1.12,0.75,0.38,50.0,88.31,86.84,0.25,1.38,0.0,0.75,0.75,0.5,66.67,2.38,0.38,15.79,3.25,0.75,23.08,0.0,0.0
1396,Eliteserien (NO),7389,Menno Koch,M. Koch,1994-07-02,62.12,12.96,19.41,9,9,0,174.0,19.33,16.67,86.21,0.44,0.0,2.69,1.21,102.0,11.33,10.89,96.08,0.0,0.0,,11.11,14.0,1.56,1.33,0.44,0.44,0.22,0.0,0.0,,85.72,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,
1396,Eliteserien (NO),8175,Ole Kristian Selnæs,O. Selnæs,1994-07-07,74.54,20.5,18.92,13,12,1,557.0,46.42,39.08,84.2,2.58,0.5,3.73,1.45,338.0,28.17,25.25,89.65,0.92,0.58,63.64,22.33,75.0,6.25,5.58,2.42,2.08,0.33,0.17,0.08,50.0,89.33,86.21,0.83,0.25,0.08,0.0,0.33,0.17,50.0,2.17,0.58,26.92,3.08,0.33,10.81,0.25,8.11
1396,Eliteserien (NO),11774,Fredrik Gulbrandsen,F. Gulbrandsen,1992-09-10,51.42,16.81,12.47,15,15,0,154.0,10.27,5.47,53.25,2.07,0.4,5.13,1.28,100.0,6.67,4.27,64.0,1.53,0.6,39.13,4.0,34.0,2.27,1.27,1.33,0.67,0.73,0.67,0.27,40.0,55.88,50.0,0.8,0.8,0.73,0.13,0.27,0.27,100.0,2.33,0.47,20.0,3.4,0.47,13.73,0.73,21.57
1396,Eliteserien (NO),12011,Jonas Svensson,J. Svensson,1993-03-06,56.19,16.88,13.36,11,10,1,317.0,31.7,26.0,82.02,2.3,0.2,3.57,1.24,217.0,21.7,18.8,86.64,0.7,0.4,57.14,19.7,38.0,3.8,3.4,1.7,1.6,0.7,0.2,0.2,100.0,89.47,94.12,0.0,1.8,0.1,0.0,0.8,0.7,87.5,1.3,0.0,0.0,2.3,0.3,13.04,0.1,4.35
1396,Eliteserien (NO),12028,Sigurd Rosted,S. Rosted,1994-07-22,96.47,25.66,30.55,6,6,0,281.0,46.83,38.67,82.56,2.17,0.0,5.12,1.91,183.0,30.5,26.17,85.79,0.5,0.33,66.67,29.67,56.0,9.33,7.83,3.67,3.17,1.33,0.67,0.67,100.0,83.93,86.36,0.17,0.17,0.17,1.0,1.5,0.83,55.56,0.5,0.17,33.33,1.0,0.5,50.0,0.17,16.67
1396,Eliteserien (NO),13029,Jón Dagur Thorsteinsson,J. Thorsteinsson,1998-11-26,73.39,22.93,17.19,12,12,0,390.0,32.5,19.58,60.26,3.67,0.5,6.16,1.93,278.0,23.17,14.67,63.31,3.33,1.33,40.0,18.67,106.0,8.83,4.75,5.58,2.25,1.92,1.42,0.58,41.18,53.77,40.3,0.33,1.92,0.25,1.08,1.42,0.67,47.06,5.0,0.75,15.0,6.75,1.08,16.05,0.83,12.35
1396,Eliteserien (NO),13032,Haitam Aleesami,H. Aleesami,1991-07-31,88.65,34.91,20.9,13,13,0,1187.0,91.31,82.0,89.81,1.85,0.23,5.14,1.86,936.0,72.0,67.54,93.8,0.31,0.08,25.0,70.0,238.0,18.31,16.69,8.15,7.23,1.69,0.31,0.31,100.0,91.18,88.68,0.15,0.15,0.08,0.15,0.85,0.23,27.27,0.38,0.15,40.0,0.85,0.15,18.18,0.0,0.0
1396,Eliteserien (NO),13034,Martin Linnes,M. Linnes,1991-09-20,54.5,18.08,12.89,10,10,0,304.0,30.4,23.1,75.99,3.4,0.3,5.46,1.65,225.0,22.5,17.2,76.45,1.9,0.6,31.58,20.3,71.0,7.1,4.9,4.1,2.7,1.7,1.1,0.8,72.73,69.01,65.85,0.0,1.8,0.8,1.2,0.6,0.2,33.33,3.0,0.4,13.33,4.3,1.1,25.58,0.7,16.28
1396,Eliteserien (NO),13127,Caleb Zady Sery,C. Zady Sery,1999-12-20,48.32,16.01,11.3,11,11,0,289.0,26.27,18.55,70.59,2.82,0.27,8.6,2.43,232.0,21.09,15.45,73.28,2.0,0.91,45.45,17.36,111.0,10.09,6.27,5.09,2.55,1.36,1.18,0.36,30.77,62.16,50.0,0.45,1.36,0.27,2.73,2.0,0.91,45.45,2.82,0.27,9.68,4.55,1.09,24.0,0.82,18.0
1396,Eliteserien (NO),13239,Vegar Eggen Hedenstad,V. Hedenstad,1991-06-26,33.81,10.06,8.26,7,7,0,151.0,21.57,18.86,87.42,0.57,0.0,4.26,1.66,111.0,15.86,14.57,91.89,0.57,0.29,50.0,14.43,23.0,3.29,2.71,2.14,1.57,0.57,0.29,0.0,0.0,82.61,73.33,0.0,0.71,0.14,0.14,0.0,0.0,,0.71,0.14,20.0,1.0,0.29,28.57,0.0,0.0
1396,Eliteserien (NO),13245,Arild Østbø,A. Østbø,1991-04-19,100.63,25.23,31.25,6,6,0,190.0,31.67,22.33,70.53,0.0,0.0,5.22,3.59,113.0,18.83,15.17,80.53,0.33,0.17,50.0,18.33,38.0,6.33,3.83,4.33,2.67,0.0,0.0,0.0,,60.53,61.54,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.0,0.67,0.33,50.0,0.0,0.0
1396,Eliteserien (NO),13247,Erlend Dahl Reitan,E. Reitan,1997-09-11,94.87,22.29,29.34,16,16,0,582.0,36.38,27.31,75.09,2.12,0.12,4.11,1.39,413.0,25.81,20.75,80.39,0.44,0.31,71.43,23.75,92.0,5.75,4.0,3.31,2.44,1.62,0.88,0.56,64.29,69.57,73.59,0.06,1.19,0.12,0.19,0.75,0.31,41.67,0.56,0.0,0.0,1.81,0.69,37.93,0.31,17.24
1396,Eliteserien (NO),13289,Anders Trondsen,A. Trondsen,1995-03-30,41.35,12.31,12.46,12,12,0,253.0,21.08,17.75,84.19,0.83,0.17,5.18,1.81,193.0,16.08,14.5,90.16,0.42,0.42,100.0,13.25,48.0,4.0,3.67,1.08,1.0,0.33,0.25,0.25,100.0,91.67,92.31,0.75,0.58,0.0,0.0,0.08,0.08,100.0,0.92,0.33,36.36,1.58,0.42,26.32,0.08,5.26
