competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1171,Ekstraklasa (PL),988,Antonio Milić,A. Milić,1994-03-10,91.59,27.22,21.91,24,24,0,1490.0,62.08,55.0,88.59,2.25,0.25,4.35,1.73,1017.0,42.38,39.29,92.72,0.29,0.12,42.86,40.0,232.0,9.67,8.67,5.62,5.17,0.67,0.04,0.04,100.0,89.66,91.85,0.08,0.0,0.04,0.0,0.33,0.17,50.0,0.5,0.04,8.33,0.67,0.08,12.5,0.08,12.5
1171,Ekstraklasa (PL),1001,Antonio-Mirko Čolak,A. Čolak,1993-09-17,25.35,7.88,5.58,13,12,1,66.0,5.5,3.17,57.57,0.92,0.33,2.3,0.68,32.0,2.67,1.42,53.13,1.0,0.5,50.0,1.25,4.0,0.33,0.17,0.25,0.08,0.0,0.0,0.0,,50.0,33.33,0.17,0.5,0.17,0.08,0.0,0.0,,1.25,0.17,13.33,1.42,0.08,5.88,0.17,11.76
1171,Ekstraklasa (PL),1034,Arkadiusz Woźniak,A. Woźniak,1990-06-01,11.18,1.43,2.97,3,3,0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,
1171,Ekstraklasa (PL),1069,Artem Putivtsev,A. Putivtsev,1988-08-29,63.6,15.56,17.11,17,17,0,427.0,25.12,20.12,80.09,0.76,0.06,4.38,1.55,269.0,15.82,13.88,87.73,0.24,0.0,0.0,14.59,71.0,4.18,3.59,2.0,1.71,0.71,0.24,0.24,100.0,85.92,85.29,0.0,0.18,0.0,0.0,0.29,0.29,100.0,0.47,0.06,12.5,0.65,0.24,36.36,0.0,0.0
1171,Ekstraklasa (PL),1081,Artur Jędrzejczyk,A. Jędrzejczyk,1987-11-04,46.79,13.01,11.63,11,10,1,220.0,22.0,18.3,83.18,0.8,0.1,3.98,1.51,136.0,13.6,12.8,94.12,0.2,0.0,0.0,12.7,32.0,3.2,3.0,0.9,0.9,0.3,0.0,0.0,,93.75,100.0,0.0,0.2,0.1,0.2,0.1,0.1,100.0,0.2,0.0,0.0,0.3,0.0,0.0,0.2,66.67
1171,Ekstraklasa (PL),1208,Bartlomiej Pawłowski,B. Pawłowski,1992-11-13,30.68,7.4,8.14,19,19,0,167.0,8.79,4.63,52.7,1.11,0.0,5.59,1.49,97.0,5.11,3.05,59.79,0.47,0.21,44.44,3.84,34.0,1.79,0.74,1.11,0.47,0.53,0.37,0.11,28.57,41.18,42.86,0.47,0.37,0.05,0.11,0.16,0.05,33.33,0.68,0.05,7.69,1.37,0.21,15.38,0.16,11.54
1171,Ekstraklasa (PL),1214,Bartosz Kapustka,B. Kapustka,1996-12-23,71.57,21.03,16.88,27,25,2,914.0,36.56,27.24,74.51,4.48,0.24,4.85,1.46,603.0,24.12,18.92,78.44,2.12,1.0,47.17,18.92,179.0,7.16,5.28,3.72,2.56,1.28,0.92,0.64,69.56,73.74,68.82,1.32,1.76,0.28,0.72,0.72,0.36,50.0,3.4,0.72,21.18,4.76,0.76,15.97,0.72,15.13
1171,Ekstraklasa (PL),1292,Benjamin Mendy,B. Mendy,1994-07-17,38.93,9.29,10.04,11,11,0,237.0,21.55,16.0,74.26,1.0,0.0,3.51,1.25,167.0,15.18,12.0,79.04,0.82,0.18,22.22,13.91,35.0,3.18,2.36,2.18,1.55,1.09,0.82,0.64,77.78,74.29,70.83,0.0,0.82,0.27,0.09,0.36,0.18,50.0,0.91,0.0,0.0,1.64,0.18,11.11,0.27,16.67
1171,Ekstraklasa (PL),1904,Christos Donis,C. Donis,1994-10-09,56.01,14.25,13.24,27,27,0,692.0,25.63,22.11,86.27,1.44,0.11,2.7,1.13,460.0,17.04,15.7,92.17,0.56,0.3,53.33,13.63,59.0,2.19,1.96,1.0,0.85,0.33,0.26,0.19,71.43,89.83,85.19,0.44,0.93,0.0,0.04,0.04,0.04,100.0,1.26,0.22,17.65,2.0,0.22,11.11,0.07,3.7
1171,Ekstraklasa (PL),2115,Damian Dąbrowski,D. Dąbrowski,1992-08-27,82.09,16.33,23.76,25,25,0,740.0,29.6,23.24,78.51,2.0,0.24,3.46,1.41,435.0,17.4,14.48,83.22,0.76,0.52,68.42,14.72,96.0,3.84,3.12,2.04,1.68,0.28,0.2,0.08,40.0,81.25,82.35,0.16,0.76,0.0,0.0,0.16,0.08,50.0,1.04,0.2,19.23,2.04,0.44,21.57,0.12,5.88
