competition_edition,league,player_name,player_short_name,player_id,player_birthdate,minutes_full_all,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,psv99_top5,peak_velocity,peak_velocity_top3,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,timetohsrpostcod_top3,explacceltosprint_count_full_all,timetosprint_top3,timetosprintpostcod_top3,cod_count_full_all,timeto505around90_top3,timeto505around180_top3
1208,1. SNL (SI),Benjamin Tetteh,B. Tetteh,1302,1997-07-10,65.3,27,0,6590.85,100.93,771.74,325.74,33.89,108.85,6.37,434.59,40.26,28.34,31.72,29.66,33.3,69.11,5.44,60.26,10.15,3.7,0.65,0.74,0.85,1.35,1.56,21.93,1.94,2.82
1208,1. SNL (SI),Dejan Lazarević,D. Lazarević,2587,1990-02-15,17.41,2,0,1737.0,99.78,216.5,71.5,8.5,30.5,1.5,102.0,10.0,28.4,28.4,28.6,,19.5,1.5,15.0,3.5,1.5,,,1.5,,,6.5,,
1208,1. SNL (SI),Hillel El Arbi Soudani,H. Soudani,2990,1987-11-25,50.41,29,0,5351.83,106.16,764.76,319.62,30.59,100.59,5.66,420.21,36.24,27.84,30.82,29.02,31.97,56.21,4.45,45.55,10.76,3.14,0.6,0.7,0.72,1.35,1.66,21.9,1.9,2.9
1208,1. SNL (SI),Florian  Hartherz,F. Hartherz,3494,1993-05-29,77.82,14,2,8830.5,113.48,1099.43,504.14,48.0,211.79,11.0,715.93,59.0,29.46,30.28,30.79,31.6,86.43,4.71,71.64,13.07,3.21,0.62,0.71,0.86,1.32,,27.07,1.98,2.94
1208,1. SNL (SI),Haris Vučkič,H. Vučkič,4212,1992-08-21,72.55,13,0,7691.31,106.01,1040.23,371.23,32.15,75.77,4.15,447.0,36.31,27.23,28.12,28.88,29.9,80.54,4.0,67.31,11.77,2.62,0.73,0.89,0.46,1.6,,22.85,2.01,2.8
1208,1. SNL (SI),Jasmin Kurtič,J. Kurtič,4757,1989-01-10,29.39,10,0,3566.9,121.39,667.3,172.3,14.7,19.7,1.4,192.0,16.1,25.13,25.92,26.73,28.67,34.2,1.2,30.3,3.9,0.6,0.86,,0.1,,,12.5,2.19,3.03
1208,1. SNL (SI),Josip Iličić,J. Iličić,5482,1988-01-29,65.9,25,3,6674.56,101.28,812.8,333.72,33.6,98.64,5.92,432.36,39.52,27.86,29.36,29.15,31.07,71.72,4.28,58.0,10.68,3.16,0.76,0.9,0.84,1.51,1.81,24.16,1.81,2.72
1208,1. SNL (SI),Luka Krajnc,L. Krajnc,6459,1994-09-19,82.58,14,0,8935.43,108.2,1175.36,421.29,36.21,104.43,6.43,525.71,42.64,27.61,28.98,29.27,31.03,88.93,4.57,67.43,9.29,3.43,0.64,0.78,0.86,1.49,,18.64,2.2,2.76
1208,1. SNL (SI),Sheyi Ojo,S. Ojo,9811,1997-06-19,81.49,28,0,9073.21,111.34,1252.71,611.93,62.86,281.57,15.21,893.5,78.07,29.89,31.36,31.47,33.23,96.96,9.82,80.57,16.21,8.14,0.62,0.64,3.43,1.15,1.24,33.96,1.93,2.69
1208,1. SNL (SI),Tomi Jurić,T. Jurić,10497,1991-07-22,49.68,7,1,5077.14,102.2,619.14,294.43,26.57,91.71,5.86,386.14,32.43,28.77,30.04,29.83,31.8,52.14,4.0,41.0,7.71,2.29,0.75,0.88,0.86,1.74,,19.57,2.38,2.93
1208,1. SNL (SI),Uroš Korun,U. Korun,10594,1987-05-25,81.66,11,2,8108.18,99.29,814.73,235.73,19.0,45.82,1.82,281.55,20.82,25.73,27.0,27.42,29.27,80.18,3.45,65.91,6.64,1.09,0.79,0.86,0.0,,,12.18,2.22,3.25
1208,1. SNL (SI),Jean Michaël Seri,J. Seri,11165,1991-07-19,57.17,14,0,6476.64,113.29,827.29,262.43,22.0,55.43,2.5,317.86,24.5,26.76,27.84,28.24,29.5,60.71,2.5,52.57,5.21,1.0,0.65,0.84,0.14,,,12.79,2.26,3.23
1208,1. SNL (SI),Jan Repas,J. Repas,11505,1997-03-19,82.23,25,0,10022.96,121.89,1616.6,471.8,39.84,93.72,5.56,565.52,45.4,27.04,28.62,29.16,31.4,92.32,3.04,81.44,9.96,1.64,0.68,0.68,0.32,1.48,1.59,32.48,1.89,2.73
1208,1. SNL (SI),Abdoulaye Dabo,A. Dabo,12240,2001-03-04,29.18,5,0,3615.2,123.91,504.0,154.4,14.0,39.2,1.6,193.6,15.6,27.88,27.88,28.92,30.83,33.8,1.2,30.2,3.0,0.6,,,0.0,,,9.6,2.19,
1208,1. SNL (SI),Rudi Požeg Vancaš,R. Požeg Vancaš,13045,1994-03-15,41.13,17,0,4695.47,114.17,720.29,351.76,34.47,109.12,7.35,460.88,41.82,28.05,29.14,28.96,30.33,55.94,4.71,44.18,11.76,3.12,0.74,0.77,1.12,1.48,1.48,24.41,1.84,2.67
1208,1. SNL (SI),Antonio Marin,A. Marin,13584,2001-01-09,60.31,25,1,7086.04,117.5,1060.08,442.2,41.72,114.88,7.0,557.08,48.72,28.35,30.48,29.92,31.77,71.56,5.08,58.84,9.48,3.56,0.59,0.7,0.8,1.36,1.46,34.16,1.86,2.58
1208,1. SNL (SI),Macky Frank Bagnack Mouegni,M. Bagnack,13709,1995-06-07,63.84,9,0,6289.44,98.51,691.78,231.22,22.67,57.78,3.44,289.0,26.11,27.63,28.74,28.56,30.53,73.67,4.22,61.0,9.56,1.56,0.82,,0.22,,,14.0,2.16,3.25
1208,1. SNL (SI),Jan Gorenc,J. Gorenc,13724,1999-07-26,77.89,23,0,8435.26,108.3,1105.96,347.57,32.39,101.13,5.43,448.7,37.83,27.83,30.46,29.59,32.37,89.78,4.7,70.39,10.83,2.91,0.64,0.66,0.43,1.56,1.58,26.17,1.97,2.91
1208,1. SNL (SI),Stefanos Evangelou,S. Evangelou,15082,1998-05-12,75.22,7,2,7686.0,102.18,884.43,290.29,27.29,76.0,4.43,366.29,31.71,27.43,27.9,28.59,29.2,82.0,4.57,66.14,10.43,2.0,0.79,0.97,0.86,1.82,2.02,16.0,2.26,
1208,1. SNL (SI),Alexandros Parras,A. Parras,15359,1998-05-12,48.63,11,0,5692.73,117.07,893.0,439.09,40.18,145.18,9.18,584.27,49.36,28.91,30.4,30.33,32.17,66.36,5.0,50.82,13.55,3.64,0.61,0.66,1.45,1.38,1.38,28.91,1.92,2.74
1208,1. SNL (SI),Ivan Borna Jelić Balta,I. Jelić Balta,15443,1992-09-17,80.72,19,4,8664.89,107.34,1148.21,327.11,32.53,81.68,4.89,408.79,37.42,27.83,30.56,29.31,32.63,84.37,3.79,69.95,10.0,1.58,0.71,0.79,0.58,1.51,,30.42,1.87,2.71
1208,1. SNL (SI),Matija Boben,M. Boben,15742,1994-02-26,89.18,12,3,9199.5,103.16,1130.83,345.92,32.17,89.33,4.92,435.25,37.08,28.32,29.86,29.82,31.93,96.17,6.42,77.17,12.42,4.42,0.59,0.65,0.92,1.36,,23.58,1.99,2.7
1208,1. SNL (SI),Toni Domgjoni,T. Domgjoni,16273,1998-09-04,76.8,5,0,9627.6,125.36,1849.0,513.4,39.6,97.2,5.2,610.6,44.8,26.96,26.96,28.5,28.8,99.6,2.2,85.4,11.8,1.6,0.91,,0.4,,,23.6,2.21,3.0
