competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_cross_receiver_run,runtype_overlap_run,runtype_underlap_run,runtype_coming_short_run,runtype_pulling_half_space_run,runtype_run_ahead_of_the_ball,runtype_pulling_wide_run,runtype_support_run,runtype_dropping_off_run
1171,Ekstraklasa (PL),988,0.0,Antonio Milić,A. Milić,0.32,0.0,0.0,0.74,0.0,0.05,0.05,0.26,4.11
1171,Ekstraklasa (PL),1001,3.6,Antonio-Mirko Čolak,A. Čolak,3.1,0.0,0.0,1.7,1.3,2.6,0.0,0.3,0.0
1171,Ekstraklasa (PL),1034,0.67,Arkadiusz Woźniak,A. Woźniak,0.33,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0
1171,Ekstraklasa (PL),1069,0.0,Artem Putivtsev,A. Putivtsev,0.0,0.0,0.12,0.12,0.0,0.0,0.12,0.62,2.0
1171,Ekstraklasa (PL),1081,0.0,Artur Jędrzejczyk,A. Jędrzejczyk,0.0,0.0,0.33,0.17,0.17,0.0,0.0,1.0,3.67
1171,Ekstraklasa (PL),1208,1.07,Bartlomiej Pawłowski,B. Pawłowski,1.71,0.36,0.21,1.07,0.64,2.36,0.93,1.36,0.5
1171,Ekstraklasa (PL),1214,0.95,Bartosz Kapustka,B. Kapustka,2.0,0.3,0.6,5.1,1.8,5.2,0.7,6.0,1.15
1171,Ekstraklasa (PL),1292,0.4,Benjamin Mendy,B. Mendy,0.4,1.2,0.4,0.2,0.0,1.0,0.4,1.2,1.0
1171,Ekstraklasa (PL),1904,0.81,Christos Donis,C. Donis,0.5,0.0,0.25,1.5,0.19,1.88,0.31,2.19,0.5
1171,Ekstraklasa (PL),2115,0.15,Damian Dąbrowski,D. Dąbrowski,0.08,0.46,0.31,2.69,0.08,1.69,0.23,5.62,0.92
1171,Ekstraklasa (PL),2124,0.47,Damian Szymański,D. Szymański,0.47,0.67,0.67,5.6,0.47,2.73,0.6,4.6,3.13
1171,Ekstraklasa (PL),3439,3.75,Filip Jagiełło,F. Jagiełło,3.8,0.5,1.05,8.25,2.6,8.1,2.7,6.4,1.55
1171,Ekstraklasa (PL),3673,0.85,Fredrik Ulvestad,F. Ulvestad,2.5,0.55,0.5,5.9,0.6,4.15,1.15,7.25,1.85
1171,Ekstraklasa (PL),4569,0.95,Ivo Tiago dos Santos Rodrigues,Ivo Rodrigues,1.6,0.75,1.4,3.2,1.15,5.05,3.95,5.15,0.4
1171,Ekstraklasa (PL),4633,0.0,Jakub Czerwiński,J. Czerwiński,0.24,0.06,0.06,0.18,0.06,0.29,0.41,1.12,4.94
1171,Ekstraklasa (PL),4637,0.25,Jakub Łukowski,J. Łukowski,0.0,0.5,0.0,1.0,0.0,0.75,0.75,0.0,0.5
1171,Ekstraklasa (PL),4755,3.94,Jarosław Kubicki,J. Kubicki,5.89,0.61,1.0,5.67,2.0,6.78,1.83,9.39,1.94
1171,Ekstraklasa (PL),5681,7.55,Kamil Grosicki,K. Grosicki,4.23,0.73,0.82,1.64,0.64,6.32,1.59,2.09,0.23
1171,Ekstraklasa (PL),5682,2.73,Kamil Jóźwiak,K. Jóźwiak,2.36,0.55,0.73,1.64,0.27,8.09,1.82,1.82,0.36
1171,Ekstraklasa (PL),5731,6.0,Karol Angielski,K. Angielski,4.0,0.0,0.25,1.5,0.25,3.5,0.25,0.75,0.0
1171,Ekstraklasa (PL),6727,0.0,Marcin Cebula,M. Cebula,0.5,0.0,1.0,5.5,1.0,4.5,1.0,4.5,0.5
1171,Ekstraklasa (PL),6731,0.0,Marcin Kamiński,M. Kamiński,0.23,0.05,0.14,0.36,0.0,0.36,0.09,0.64,1.55
1171,Ekstraklasa (PL),6925,4.25,Mariusz Stępiński,M. Stępiński,9.0,0.0,0.0,2.25,0.25,4.75,0.0,1.25,0.0
1171,Ekstraklasa (PL),7127,0.0,Mateusz Cichocki,M. Cichocki,0.33,0.0,0.0,0.67,0.0,0.0,0.33,0.67,2.67
1171,Ekstraklasa (PL),7128,1.62,Mateusz Klich,M. Klich,1.44,0.62,1.44,6.38,1.88,6.38,0.81,6.5,0.62
1171,Ekstraklasa (PL),7142,2.73,Mateusz Wdowiak,M. Wdowiak,2.6,0.33,0.27,1.6,0.67,4.13,2.0,1.47,0.53
1171,Ekstraklasa (PL),7194,1.5,Matías Nahuel Leiva Esquivel,N. Leiva,2.5,1.5,0.25,1.25,0.0,10.25,1.5,4.0,0.0
1171,Ekstraklasa (PL),7338,0.5,Maxime Dominguez,M. Dominguez,0.75,0.5,0.5,4.25,0.5,4.25,0.5,0.5,0.25
1171,Ekstraklasa (PL),7481,0.42,Michał Chrapek,M. Chrapek,1.21,0.74,0.79,3.0,0.84,5.58,1.47,5.95,0.74
1171,Ekstraklasa (PL),7493,0.0,Michał Nalepa,M. Nalepa,0.25,0.0,0.15,0.15,0.05,0.15,0.15,0.2,2.65
1171,Ekstraklasa (PL),7595,9.95,Mikael Ishak,M. Ishak,5.37,0.26,0.42,2.58,1.05,5.11,1.26,1.53,0.21
1171,Ekstraklasa (PL),8542,0.0,Paweł Dawidowicz,P. Dawidowicz,0.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0
1171,Ekstraklasa (PL),8548,0.27,Paweł Olkowski,P. Olkowski,0.2,1.47,0.33,0.13,0.0,2.4,1.13,3.2,1.53
1171,Ekstraklasa (PL),8551,0.16,Paweł Stolarski,P. Stolarski,0.11,0.95,1.21,0.37,0.05,3.21,1.0,3.42,3.26
1171,Ekstraklasa (PL),8554,3.17,Paweł Wszołek,P. Wszołek,1.78,3.67,1.72,0.39,0.06,8.28,2.11,4.44,1.17
1171,Ekstraklasa (PL),8735,0.73,José Ángel Pozo la Rosa,José Pozo,2.13,0.27,0.87,5.07,1.07,3.8,0.87,4.6,0.47
1171,Ekstraklasa (PL),8824,0.11,Rafał Janicki,R. Janicki,0.42,0.0,0.05,0.32,0.0,0.42,0.26,0.74,3.95
1171,Ekstraklasa (PL),8829,2.24,Rafał Wolski,R. Wolski,1.33,0.33,0.71,4.29,1.19,6.52,1.29,3.9,0.24
1171,Ekstraklasa (PL),9651,2.55,Sebastian Kerk,S. Kerk,2.35,0.85,0.6,7.95,0.95,8.0,3.8,6.1,0.5
1171,Ekstraklasa (PL),9863,0.33,Simon Gustafson,S. Gustafson,0.67,0.0,1.67,1.33,0.67,2.0,0.0,3.0,1.0
1171,Ekstraklasa (PL),10212,0.19,Taras Romanczuk,T. Romanczuk,0.52,0.14,0.1,6.57,0.19,3.24,0.14,6.33,1.24
1171,Ekstraklasa (PL),10490,0.0,Tomasz Mokwa,T. Mokwa,0.0,1.25,0.25,0.0,0.0,1.5,0.5,3.25,2.25
