competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1230,Eredivisie (NL),90,0.44,Aaron Meijers,A. Meijers,2.56
1230,Eredivisie (NL),348,7.0,Alassane Pléa,A. Pléa,4.0
1230,Eredivisie (NL),442,0.33,Alen Halilović,A. Halilović,0.33
1230,Eredivisie (NL),715,4.43,André Ayew,A. Ayew,6.43
1230,Eredivisie (NL),1197,0.87,Bart Nieuwkoop,B. Nieuwkoop,1.6
1230,Eredivisie (NL),1223,0.83,Bas Kuipers,B. Kuipers,0.67
1230,Eredivisie (NL),1337,2.0,Bertrand Isidore Traoré,B. Traoré,5.0
1230,Eredivisie (NL),1435,0.0,Bram Nuytinck,B. Nuytinck,0.0
1230,Eredivisie (NL),1440,2.67,Brandley Kuwas,B. Kuwas,4.21
1230,Eredivisie (NL),1509,0.0,Bruno Martins Indi,B. Martins Indi,0.37
1230,Eredivisie (NL),1541,5.29,Bryan Linssen,B. Linssen,4.62
1230,Eredivisie (NL),2300,0.2,Danny Bakker,D. Bakker,1.6
1230,Eredivisie (NL),2548,3.09,Davy Klaassen,D. Klaassen,4.82
1230,Eredivisie (NL),2614,0.0,Denis Odoi,D. Odoi,1.09
1230,Eredivisie (NL),2776,0.0,Dion Malone,D. Malone,0.33
1230,Eredivisie (NL),4545,3.76,Ivan Perišić,I. Perišić,5.67
1230,Eredivisie (NL),4568,0.82,Ivo Daniel Ferreira Mendonca Pinto,Ivo Pinto,3.09
1230,Eredivisie (NL),4651,1.94,Jamiro Gregory Monteiro Alvarenga,Jamiro Monteiro,4.0
1230,Eredivisie (NL),4876,0.58,Jeff Hardeveld,J. Hardeveld,4.67
1230,Eredivisie (NL),4912,1.83,Jens Toornstra,J. Toornstra,4.0
1230,Eredivisie (NL),4976,0.33,Jeremiah St. Juste,J. St. Juste,0.0
1230,Eredivisie (NL),5001,0.0,Jetro Willems,J. Willems,0.25
1230,Eredivisie (NL),5245,0.25,Jonathan  de Guzmán,J. de Guzmán,0.0
1230,Eredivisie (NL),5338,0.14,Jordy Clasie,J. Clasie,2.0
1230,Eredivisie (NL),5373,1.25,Joris van Overeem,J. van Overeem,4.5
1230,Eredivisie (NL),5616,0.33,Juninho Gracielo Bacuna,J. Bacuna,2.33
1230,Eredivisie (NL),5984,1.58,Kristoffer Peterson,K. Peterson,5.08
1230,Eredivisie (NL),6201,3.33,Lewis Holtby,L. Holtby,6.95
1230,Eredivisie (NL),7084,1.14,Marvin Peersman,M. Peersman,5.33
1230,Eredivisie (NL),7210,0.36,Mats Seuntjens,M. Seuntjens,0.82
1230,Eredivisie (NL),7605,0.78,Mike te Wierik,M. te Wierik,1.56
1230,Eredivisie (NL),7607,0.37,Mike van der Hoorn,M. van der Hoorn,0.42
