competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1171,Ekstraklasa (PL),988,0.0,Antonio Milić,A. Milić,0.05
1171,Ekstraklasa (PL),1001,3.6,Antonio-Mirko Čolak,A. Čolak,2.6
1171,Ekstraklasa (PL),1034,0.67,Arkadiusz Woźniak,A. Woźniak,0.33
1171,Ekstraklasa (PL),1069,0.0,Artem Putivtsev,A. Putivtsev,0.0
1171,Ekstraklasa (PL),1081,0.0,Artur Jędrzejczyk,A. Jędrzejczyk,0.0
1171,Ekstraklasa (PL),1208,1.07,Bartlomiej Pawłowski,B. Pawłowski,2.36
1171,Ekstraklasa (PL),1214,0.95,Bartosz Kapustka,B. Kapustka,5.2
1171,Ekstraklasa (PL),1292,0.4,Benjamin Mendy,B. Mendy,1.0
1171,Ekstraklasa (PL),1904,0.81,Christos Donis,C. Donis,1.88
1171,Ekstraklasa (PL),2115,0.15,Damian Dąbrowski,D. Dąbrowski,1.69
1171,Ekstraklasa (PL),2124,0.47,Damian Szymański,D. Szymański,2.73
1171,Ekstraklasa (PL),3439,3.75,Filip Jagiełło,F. Jagiełło,8.1
1171,Ekstraklasa (PL),3673,0.85,Fredrik Ulvestad,F. Ulvestad,4.15
1171,Ekstraklasa (PL),4569,0.95,Ivo Tiago dos Santos Rodrigues,Ivo Rodrigues,5.05
1171,Ekstraklasa (PL),4633,0.0,Jakub Czerwiński,J. Czerwiński,0.29
1171,Ekstraklasa (PL),4637,0.25,Jakub Łukowski,J. Łukowski,0.75
1171,Ekstraklasa (PL),4755,3.94,Jarosław Kubicki,J. Kubicki,6.78
1171,Ekstraklasa (PL),5681,7.55,Kamil Grosicki,K. Grosicki,6.32
1171,Ekstraklasa (PL),5682,2.73,Kamil Jóźwiak,K. Jóźwiak,8.09
1171,Ekstraklasa (PL),5731,6.0,Karol Angielski,K. Angielski,3.5
1171,Ekstraklasa (PL),6727,0.0,Marcin Cebula,M. Cebula,4.5
1171,Ekstraklasa (PL),6731,0.0,Marcin Kamiński,M. Kamiński,0.36
1171,Ekstraklasa (PL),6925,4.25,Mariusz Stępiński,M. Stępiński,4.75
1171,Ekstraklasa (PL),7127,0.0,Mateusz Cichocki,M. Cichocki,0.0
1171,Ekstraklasa (PL),7128,1.62,Mateusz Klich,M. Klich,6.38
1171,Ekstraklasa (PL),7142,2.73,Mateusz Wdowiak,M. Wdowiak,4.13
1171,Ekstraklasa (PL),7194,1.5,Matías Nahuel Leiva Esquivel,N. Leiva,10.25
1171,Ekstraklasa (PL),7338,0.5,Maxime Dominguez,M. Dominguez,4.25
1171,Ekstraklasa (PL),7481,0.42,Michał Chrapek,M. Chrapek,5.58
1171,Ekstraklasa (PL),7493,0.0,Michał Nalepa,M. Nalepa,0.15
1171,Ekstraklasa (PL),7595,9.95,Mikael Ishak,M. Ishak,5.11
1171,Ekstraklasa (PL),8542,0.0,Paweł Dawidowicz,P. Dawidowicz,2.0
1171,Ekstraklasa (PL),8548,0.27,Paweł Olkowski,P. Olkowski,2.4
1171,Ekstraklasa (PL),8551,0.16,Paweł Stolarski,P. Stolarski,3.21
1171,Ekstraklasa (PL),8554,3.17,Paweł Wszołek,P. Wszołek,8.28
1171,Ekstraklasa (PL),8735,0.73,José Ángel Pozo la Rosa,José Pozo,3.8
1171,Ekstraklasa (PL),8824,0.11,Rafał Janicki,R. Janicki,0.42
1171,Ekstraklasa (PL),8829,2.24,Rafał Wolski,R. Wolski,6.52
1171,Ekstraklasa (PL),9651,2.55,Sebastian Kerk,S. Kerk,8.0
1171,Ekstraklasa (PL),9863,0.33,Simon Gustafson,S. Gustafson,2.0
1171,Ekstraklasa (PL),10212,0.19,Taras Romanczuk,T. Romanczuk,3.24
1171,Ekstraklasa (PL),10490,0.0,Tomasz Mokwa,T. Mokwa,1.5
1171,Ekstraklasa (PL),11441,0.12,Adrián Diéguez Grande,Adrián Diéguez,0.62
1171,Ekstraklasa (PL),11453,0.68,Leonardo Koutris,L. Koutris,2.5
1171,Ekstraklasa (PL),11509,2.0,Lukas Lerager,L. Lerager,3.25
1171,Ekstraklasa (PL),11853,2.6,Ali  Gholizadeh,A. Gholizadeh,7.4
1171,Ekstraklasa (PL),11905,2.16,Rafał Kurzawa,R. Kurzawa,4.89
1171,Ekstraklasa (PL),12129,1.62,Quentin Boisgard,Q. Boisgard,6.69
1171,Ekstraklasa (PL),12165,1.0,Rúben Gonçalo Silva Nascimento Vinagre,Rúben Vinagre,6.5
1171,Ekstraklasa (PL),12410,3.0,Nazariy Rusyn,N. Rusyn,5.71
1171,Ekstraklasa (PL),12415,4.67,Jean-Pierre Nsamé,J. Nsamé,2.33
1171,Ekstraklasa (PL),12434,0.64,Petar Stojanović,P. Stojanović,3.07
1171,Ekstraklasa (PL),12490,0.0,Bojan  Nastić,B. Nastić,3.0
1171,Ekstraklasa (PL),12501,1.15,Arkadiusz Reca,A. Reca,4.38
1171,Ekstraklasa (PL),12538,5.25,Efthymios Koulouris,E. Koulouris,4.25
1171,Ekstraklasa (PL),12625,2.43,Joaquim Claude   Gonçalves Araújo,Claude Gonçalves,5.29
1171,Ekstraklasa (PL),12646,0.0,Sergi Samper Montaña,Sergi Samper,1.26
1171,Ekstraklasa (PL),12698,0.0,Stratos Svarnas,S. Svarnas,1.37
1171,Ekstraklasa (PL),12823,1.95,Marc Navarro Ceciliano,Marc Navarro,4.5
1171,Ekstraklasa (PL),12998,0.0,José Manuel Sánchez Guillén,Josema,0.33
1171,Ekstraklasa (PL),13046,1.5,Luka Zahovič,L. Zahovič,3.5
1171,Ekstraklasa (PL),13096,0.0,Aurélien Nguiamba,A. Nguiamba,1.0
1171,Ekstraklasa (PL),13425,0.0,Carlos Isaac  Muñoz Obejero,Carlos Isaac,1.0
1171,Ekstraklasa (PL),13703,6.84,Erik Jirka,E. Jirka,9.37
1171,Ekstraklasa (PL),13743,6.55,Afimico Pululu,Afimico Pululu,4.55
1171,Ekstraklasa (PL),13756,0.0,Lindon Selahi,L. Selahi,1.29
1171,Ekstraklasa (PL),13790,0.08,Märten Kuusk,M. Kuusk,0.67
1171,Ekstraklasa (PL),13825,1.25,Andreas Katsantonis,A. Katsantonis,1.25
1171,Ekstraklasa (PL),13940,1.4,Iván López Álvarez,Ivi López,7.7
1171,Ekstraklasa (PL),14081,0.75,Bruno André Cavaco Jordão,Bruno Jordão,5.25
1171,Ekstraklasa (PL),14113,2.41,Musa Juwara,M. Juwara,5.35
1171,Ekstraklasa (PL),14131,0.1,Michał Marcjanik,M. Marcjanik,0.33
1171,Ekstraklasa (PL),14243,2.62,Mohamed Lamine Diaby-Fadiga,L. Diaby-Fadiga,4.43
1171,Ekstraklasa (PL),14495,2.08,Adrián Dalmau Vaquer,Adrián Dalmau,1.31
1171,Ekstraklasa (PL),14798,1.0,Jani Atanasov,J. Atanasov,2.0
1171,Ekstraklasa (PL),16567,1.13,Fran Tudor,F. Tudor,2.93
1171,Ekstraklasa (PL),16573,0.12,Tonio Teklić,T. Teklić,1.25
1171,Ekstraklasa (PL),16602,0.0,Danijel Lončar,D. Lončar,0.06
1171,Ekstraklasa (PL),16623,0.47,Boško Šutalo,B. Šutalo,4.12
1171,Ekstraklasa (PL),16624,1.64,Erik Janža,E. Janža,8.23
1171,Ekstraklasa (PL),16714,0.5,Michal Sáček,M. Sáček,4.25
1171,Ekstraklasa (PL),16717,2.5,Srdjan Plavšić,S. Plavšić,9.5
1171,Ekstraklasa (PL),16834,6.25,Osman Bukari,O. Bukari,7.75
1171,Ekstraklasa (PL),16958,1.69,Otar Kakabadze,O. Kakabadze,5.23
1171,Ekstraklasa (PL),16994,0.0,Przemysław Wiśniewski,P. Wiśniewski,0.25
1171,Ekstraklasa (PL),16997,0.0,Paweł Bochniewicz,P. Bochniewicz,1.0
1171,Ekstraklasa (PL),17001,3.89,Jesús Jiménez Núñez,Jesús Jiménez,5.89
1171,Ekstraklasa (PL),17009,7.07,Kamil Zapolnik,K. Zapolnik,4.43
1171,Ekstraklasa (PL),17015,2.05,Krzysztof Kubica,K. Kubica,2.65
1171,Ekstraklasa (PL),17016,0.52,Maciej Ambrosiewicz,M. Ambrosiewicz,4.43
1171,Ekstraklasa (PL),17020,0.77,Robert Gumny,R. Gumny,3.62
1171,Ekstraklasa (PL),17031,3.1,Marcin Wasielewski,M. Wasielewski,6.45
1171,Ekstraklasa (PL),17192,0.25,Konstantinos Sotiriou,K. Sotiriou,0.2
1171,Ekstraklasa (PL),17218,0.06,Lukas Klemenz,L. Klemenz,0.28
1171,Ekstraklasa (PL),17323,0.09,Radovan Pankov,R. Pankov,0.73
1171,Ekstraklasa (PL),17408,2.61,Radu Boboc,R. Boboc,3.72
1171,Ekstraklasa (PL),17597,3.0,Vladislavs Gutkovskis,V. Gutkovskis,3.0
1171,Ekstraklasa (PL),17974,0.0,Kellyn  Acosta,K. Acosta,4.5
1171,Ekstraklasa (PL),18350,2.3,Jason Eyenga-Lokilo,J. Lokilo,3.9
1171,Ekstraklasa (PL),18444,1.65,Quentin Lecoeuche,Q. Lecoeuche,6.0
1171,Ekstraklasa (PL),19022,0.0,Hervé Matthys,H. Matthys,0.75
1171,Ekstraklasa (PL),19136,5.69,Adam Zreľák,A. Zreľák,3.94
1171,Ekstraklasa (PL),19201,6.14,Roberto Massimo,R. Massimo,6.29
1171,Ekstraklasa (PL),19383,2.4,Linus Wahlqvist,L. Wahlqvist,4.4
1171,Ekstraklasa (PL),19983,0.11,Jakub Łabojko,J. Łabojko,3.26
1171,Ekstraklasa (PL),19990,2.35,Mathieu Scalet,M. Scalet,4.65
1171,Ekstraklasa (PL),19995,9.15,Jesús Imaz Ballesté,Jesús Imaz,9.1
1171,Ekstraklasa (PL),19996,0.0,Zoran  Arsenić,Z. Arsenić,0.57
1171,Ekstraklasa (PL),20009,4.12,Dawid Błanik,D. Błanik,8.62
1171,Ekstraklasa (PL),20016,0.67,Sebastian Kowalczyk,S. Kowalczyk,1.33
1171,Ekstraklasa (PL),20023,0.14,Kamil Dawid Piątkowski,K. Piątkowski,0.64
1171,Ekstraklasa (PL),20024,0.0,Bartosz Kopacz,B. Kopacz,0.11
1171,Ekstraklasa (PL),20035,0.12,Alan Czerwiński,A. Czerwiński,1.71
1171,Ekstraklasa (PL),20046,0.0,Damian Rasak,D. Rasak,1.0
1171,Ekstraklasa (PL),20066,1.5,Michał Rakoczy,M. Rakoczy,2.5
1171,Ekstraklasa (PL),20094,3.88,Wiktor Długosz,W. Długosz,6.56
1171,Ekstraklasa (PL),20126,0.14,Arkadiusz  Jędrych,A. Jędrych,0.14
1171,Ekstraklasa (PL),20132,1.08,Sebastian Milewski,S. Milewski,4.5
1171,Ekstraklasa (PL),20145,0.1,Patryk Dziczek,P. Dziczek,3.3
1171,Ekstraklasa (PL),20146,1.38,Jorge Félix Muñoz García,Jorge Félix,6.95
1171,Ekstraklasa (PL),20168,0.0,Tomasz Makowski,T. Makowski,1.8
1171,Ekstraklasa (PL),20173,0.0,Mateusz Żyro,M. Żyro,0.25
1171,Ekstraklasa (PL),20176,0.42,Rafał Augustyniak,R. Augustyniak,1.25
1171,Ekstraklasa (PL),20193,0.24,Nemanja Mijušković,N. Mijušković,0.59
