id,start_year,end_year,name
132,2027,2027,2027
131,2026,2027,2026/2027
130,2026,2026,2026
129,2025,2026,2025/2026
128,2025,2025,2025
95,2024,2025,2024/2025
29,2024,2024,2024
28,2023,2024,2023/2024
22,2023,2023,2023
21,2022,2023,2022/2023
20,2022,2022,2022
8,2021,2022,2021/2022
17,2021,2021,2021
7,2020,2021,2020/2021
16,2020,2020,2020
6,2019,2020,2019/2020
15,2019,2019,2019
5,2018,2019,2018/2019
14,2018,2018,2018
4,2017,2018,2017/2018
13,2017,2017,2017
3,2016,2017,2016/2017
12,2016,2016,2016
2,2015,2016,2015/2016
11,2015,2015,2015
1,2014,2015,2014/2015
10,2014,2014,2014
0,2013,2014,2013/2014
9,2013,2013,2013
62,2010,2010,2010
23,2006,2006,2006
27,2002,2002,2002
24,1998,1998,1998
25,1990,1990,1990
26,1966,1966,1966
