id,name,coach,stadium.id,stadium.name,stadium.city,stadium.capacity,stadium
2486,CR Flamengo U20,,2166.0,Estádio da Gávea,Rio de Janeiro,,
2495,Queen of the South FC,,3369.0,Palmerston Park,Dumfries,18690.0,
2489,Volta Redonda FC,,2167.0,Estádio General Sylvio Raulino de Oliveira,Volta Redonda,,
2690,FK Proleter Novi Sad,,3646.0,Stadion Slana Bara,Novi Sad,2000.0,
2503,Liebherr Grazer AK,,2622.0,UPC-Arena,,,
2492,Criciuma EC,,2169.0,Estádio Heriberto Hülse,Criciúma,,
4044,Hong Kong FC,,2886.0,Hong Kong Stadium,Hong Kong,40000.0,
1930,"Moldova, Women",,570.0,Zimbru,Chisinau,10500.0,
4751,FC Telavi,,6294.0,Kavkasioni Arena,Telavi,2000.0,
2678,Brazil U20,,2500.0,Estádio Mané Garrincha,Brasilia,72788.0,
2498,Club León U20,,2176.0,Estadio Leon,Leon,,
2582,"Czech Republic U19, Women",,350.0,Generali Arena,Prague,19784.0,
2680,Argentina U20,,664.0,Alberto Jose Armando,Buenos Aires,49000.0,
4789,Al Jeel Club U18,,6353.0,Reserve 2 of Prince Abdullah Bin Jalawi Sport City Stadium,Al-Hofuf,1000.0,
2675,Peru U20,,2113.0,Villa Deportiva Nacional,Lima,,
2505,M-Perruquers Atlètic Club d'Escaldes,,2183.0,Estadi Comuna d'Aixovall,Sant Julià de Lòria,,
2637,FSV Frankfurt,,1996.0,PSD Bank Arena,Frankfurt,,
2510,Guarani FC de Campinas,,2186.0,Estádio Brinco de Ouro da Princesa,Campinas,,
2674,Hong Kong,,1931.0,Mong Kok Stadium,Hong Kong,6664.0,
2512,Reading FC U23,,479.0,Madejski Stadium,Reading,24161.0,
2500,Tunisia U20,,1965.0,Stade Olympique Hammadi Agrebi,Tunis,,
2514,Modena FC,,2188.0,Alberto Braglia,Modena,,
3054,New Zealand U20,,1708.0,QBE Stadium,Auckland,25000.0,
2520,NK Inter Zaprešić,,2192.0,SRC Zapresic,Zapresic,,
4816,Chungbuk Cheongju FC,,6440.0,Cheongju Stadium,Cheongju ,16280.0,
2526,Lokomotiv Stara Zagora,,125.0,Rajko Mitic,Belgrade,55538.0,
4846,Al Ettifaq FC Under 18 (Dammam),,6497.0,Reserve of Al-Ettifaq Club Stadium,Dammam,1000.0,
2529,Paksi SE,,2197.0,Fehérvári úti Stadion,Paks,,
4865,Sporting Toulon Var,,6515.0,Stade de Bon Rencontre,Toulon,8200.0,
2531,Al Wasl FC,,2201.0,Al-Maktoum Stadion,Dubaï,,
798,"South Africa, Women",,1710.0,Moses Mabhida Stadion,Durban,65000.0,
2534,Diósgyőr VTK,,2205.0,DVTK Stadion,Miskolc,,
1885,"Ghana, Women",,1613.0,Accra Sports Stadium,Accra,40000.0,
4984,IK Brage,,6697.0,Domnarvsvallen,Borlänge,6500.0,
2536,SpVgg Unterhaching,,2206.0,Sportpark Unterhaching,Unterhaching,,
2711,"USA U17, Women",,639.0,Audi Field,Washington,,
5003,Unión Popular de Langreo,,6720.0,Ganzábal,La Felguera-Langreo,4024.0,
2557,Richards Bay FC,,2223.0,Richards Bay Sports Stadium,Richards Bay,,
5022,SD Ejea,,6738.0,Luchán,Ejea de los Caballeros,2249.0,
2559,Skeid Fotball,,2225.0,Nordre Åsen Kunstgress,Skeid,,
5201,Birmingham City FC  Academy U18,,6995.0,Knighthead Performance Centre,Birmingham,0.0,
2576,SV Eintracht Trier 05,,2241.0,Moselstadion,Trier,,
5426,FC Rukh Lviv Under 19,,7498.0,Stadion B. Markevycha,Vynnyky,9000.0,
2577,FC Südtirol,,2242.0,Druso,Bolzano,,
337,Orlando City,,1310.0,Exploria Stadium,Orlando,25500.0,
2635,Crawley Town FC,,2263.0,The People's Pension Stadium,Crawley,,
2590,"FK Zhytlobud-2 Kharkiv, Women",,1318.0,Stade Varteks,Varaždin,10800.0,
2595,"KSK Lanchkhuti, Women",,2246.0,Evgrapi Shevardnadze Stadium,Lanchkhuti,,
2624,VfR Wormatia 08 Worms,,2252.0,EWR-Arena Worms,Worms,,
2625,"ALG Spor Kulübü, Women",,1188.0,Gaziantep Stadium,Gaziantep,33502.0,
2628,Deportivo Saprissa,,2254.0,Estadio Ricardo Saprissa Aymá,San Juán de Tibás,,
2548,FK Tuzla City,,2273.0,Tusanj,Tuzla,,
2535,St Patrick's Athletic FC,,2275.0,Richmond Park,Dublin,,
2395,"Birkirkara FC, Women",,399.0,Ta' Qali National Stadium,Ta' Qali,17000.0,
25,Lierse SK,,1719.0,Herman Vanderpoortenstadion,Lier,14538.0,
2640,Red Arrows FC,,2278.0,Nkoloma Stadium,Lusaka,,
2641,Casa Sport,,2279.0,Stade Aline Sitoe Diatta,Ziguinchor,,
2647,JS de Kabylie,,2285.0,Stade 1er Novembre,Tizi Ouzou,,
2649,Volcan Club de Moroni,,2286.0,Stade de Moroni,Moroni,,
2656,La Passe FC,,2293.0,La Digue Playing Fields,La Digue,,
2659,Avispa Fukuoka,,2296.0,Best Denki Stadium,Fukuoka,,
2662,Rail Club de Kadiogo,,2299.0,Stade du Kadiogo,Kadiogo,,
2665,Bo Rangers FC,,2302.0,Bo Stadium,Bo,,
2666,AS Vita Club,,1775.0,Stade des Martyrs,Kinshasa,80000.0,
2670,Gaborone United FC,,2306.0,National Stadium,Gaborone,,
2673,TSG Balingen,,2307.0,Bizerba-Arena,Balingen,,
2677,Mexico U20,,1309.0,Estadio Olímpico Universitario,Mexico,63186.0,
2682,Canada U20,,1199.0,Bc Place,Vancouver,22120.0,
2689,FK Kolubara Lazarevac,,2311.0,Gradski Stadion,Lazarevac,,
2691,FC 08 Homburg Saar,,2316.0,Waldstadion Homburg,Homburg,16488.0,
