competition_id,season_id,country_name,competition_name,season_name,competition_gender
260,351,Denmark,1. Division,2026/2027,male
260,318,Denmark,1. Division,2025/2026,male
260,317,Denmark,1. Division,2024/2025,male
260,281,Denmark,1. Division,2023/2024,male
78,351,Croatia,1. HNL,2026/2027,male
78,318,Croatia,1. HNL,2025/2026,male
78,317,Croatia,1. HNL,2024/2025,male
78,281,Croatia,1. HNL,2023/2024,male
78,235,Croatia,1. HNL,2022/2023,male
78,108,Croatia,1. HNL,2021/2022,male
78,90,Croatia,1. HNL,2020/2021,male
78,42,Croatia,1. HNL,2019/2020,male
1714,351,Slovenia,1. SNL,2026/2027,male
1714,318,Slovenia,1. SNL,2025/2026,male
1714,317,Slovenia,1. SNL,2024/2025,male
10,351,Germany,2. Bundesliga,2026/2027,male
10,318,Germany,2. Bundesliga,2025/2026,male
10,317,Germany,2. Bundesliga,2024/2025,male
10,281,Germany,2. Bundesliga,2023/2024,male
10,235,Germany,2. Bundesliga,2022/2023,male
10,108,Germany,2. Bundesliga,2021/2022,male
10,90,Germany,2. Bundesliga,2020/2021,male
10,42,Germany,2. Bundesliga,2019/2020,male
179,235,Germany,3. Liga,2022/2023,male
179,108,Germany,3. Liga,2021/2022,male
179,90,Germany,3. Liga,2020/2021,male
75,316,Sweden,Allsvenskan,2026,male
75,315,Sweden,Allsvenskan,2025,male
75,282,Sweden,Allsvenskan,2024,male
75,107,Sweden,Allsvenskan,2023,male
75,106,Sweden,Allsvenskan,2022,male
75,91,Sweden,Allsvenskan,2021,male
75,43,Sweden,Allsvenskan,2020,male
47,351,Austria,Bundesliga,2026/2027,male
47,318,Austria,Bundesliga,2025/2026,male
47,317,Austria,Bundesliga,2024/2025,male
47,281,Austria,Bundesliga,2023/2024,male
47,235,Austria,Bundesliga,2022/2023,male
47,108,Austria,Bundesliga,2021/2022,male
47,90,Austria,Bundesliga,2020/2021,male
47,42,Austria,Bundesliga,2019/2020,male
119,351,Germany,Bundesliga 1/2 Play-offs,2026/2027,male
119,318,Germany,Bundesliga 1/2 Play-offs,2025/2026,male
119,317,Germany,Bundesliga 1/2 Play-offs,2024/2025,male
119,281,Germany,Bundesliga 1/2 Play-offs,2023/2024,male
119,235,Germany,Bundesliga 1/2 Play-offs,2022/2023,male
119,108,Germany,Bundesliga 1/2 Play-offs,2021/2022,male
119,90,Germany,Bundesliga 1/2 Play-offs,2020/2021,male
119,42,Germany,Bundesliga 1/2 Play-offs,2019/2020,male
121,351,Germany,Bundesliga 2/3 Play-offs,2026/2027,male
121,318,Germany,Bundesliga 2/3 Play-offs,2025/2026,male
121,317,Germany,Bundesliga 2/3 Play-offs,2024/2025,male
121,281,Germany,Bundesliga 2/3 Play-offs,2023/2024,male
121,235,Germany,Bundesliga 2/3 Play-offs,2022/2023,male
121,108,Germany,Bundesliga 2/3 Play-offs,2021/2022,male
121,90,Germany,Bundesliga 2/3 Play-offs,2020/2021,male
121,42,Germany,Bundesliga 2/3 Play-offs,2019/2020,male
1894,351,Czech Republic,Chance National Liga,2026/2027,male
1894,318,Czech Republic,Chance National Liga,2025/2026,male
76,351,Czech Republic,Czech Liga,2026/2027,male
76,318,Czech Republic,Czech Liga,2025/2026,male
76,317,Czech Republic,Czech Liga,2024/2025,male
76,281,Czech Republic,Czech Liga,2023/2024,male
76,235,Czech Republic,Czech Liga,2022/2023,male
76,108,Czech Republic,Czech Liga,2021/2022,male
76,90,Czech Republic,Czech Liga,2020/2021,male
76,42,Czech Republic,Czech Liga,2019/2020,male
38,351,Poland,Ekstraklasa,2026/2027,male
38,318,Poland,Ekstraklasa,2025/2026,male
38,317,Poland,Ekstraklasa,2024/2025,male
38,281,Poland,Ekstraklasa,2023/2024,male
38,235,Poland,Ekstraklasa,2022/2023,male
38,108,Poland,Ekstraklasa,2021/2022,male
38,90,Poland,Ekstraklasa,2020/2021,male
38,42,Poland,Ekstraklasa,2019/2020,male
88,316,Norway,Eliteserien,2026,male
88,315,Norway,Eliteserien,2025,male
88,282,Norway,Eliteserien,2024,male
